,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.461,0.834,2,-4.868,1,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,audio_features,6PCUP3dWmTjcTtXY02oFdT,spotify:track:6PCUP3dWmTjcTtXY02oFdT,https://api.spotify.com/v1/tracks/6PCUP3dWmTjcTtXY02oFdT,https://api.spotify.com/v1/audio-analysis/6PCUP3dWmTjcTtXY02oFdT,261154,4
1,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,audio_features,7qiZfU4dY1lWllzX7mPBI3,spotify:track:7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3,233713,4
2,0.528,0.681,4,-9.056,0,0.0532,0.057,4.08e-06,0.103,0.45,84.768,audio_features,4DzwSjtHtj52si3ndZ65tB,spotify:track:4DzwSjtHtj52si3ndZ65tB,https://api.spotify.com/v1/tracks/4DzwSjtHtj52si3ndZ65tB,https://api.spotify.com/v1/audio-analysis/4DzwSjtHtj52si3ndZ65tB,242409,4
3,0.486,0.898,3,-1.742,1,0.055,0.000234,0.00137,0.343,0.381,122.002,audio_features,6QacHGYy6dD6JVUYRof9Xg,spotify:track:6QacHGYy6dD6JVUYRof9Xg,https://api.spotify.com/v1/tracks/6QacHGYy6dD6JVUYRof9Xg,https://api.spotify.com/v1/audio-analysis/6QacHGYy6dD6JVUYRof9Xg,194280,4
4,0.52,0.775,0,-5.803,1,0.0348,0.034,0.0,0.364,0.383,136.02,audio_features,6xpDh0dXrkVp0Po1qrHUd8,spotify:track:6xpDh0dXrkVp0Po1qrHUd8,https://api.spotify.com/v1/tracks/6xpDh0dXrkVp0Po1qrHUd8,https://api.spotify.com/v1/audio-analysis/6xpDh0dXrkVp0Po1qrHUd8,249627,4
5,0.409,0.959,9,-4.563,1,0.0869,0.000324,0.0,0.0766,0.83,193.144,audio_features,2ydUT1pFhuLDnouelIv4WH,spotify:track:2ydUT1pFhuLDnouelIv4WH,https://api.spotify.com/v1/tracks/2ydUT1pFhuLDnouelIv4WH,https://api.spotify.com/v1/audio-analysis/2ydUT1pFhuLDnouelIv4WH,171600,4
6,0.47,0.915,11,-6.787,1,0.1,0.000954,7.25e-06,0.35,0.69,107.569,audio_features,3nqm3DdVskqbHhmb8S8hMd,spotify:track:3nqm3DdVskqbHhmb8S8hMd,https://api.spotify.com/v1/tracks/3nqm3DdVskqbHhmb8S8hMd,https://api.spotify.com/v1/audio-analysis/3nqm3DdVskqbHhmb8S8hMd,193000,4
7,0.552,0.915,4,-3.713,1,0.056,0.00132,3.58e-05,0.206,0.602,90.013,audio_features,75SixhsPWyRRmtqHeffiXr,spotify:track:75SixhsPWyRRmtqHeffiXr,https://api.spotify.com/v1/tracks/75SixhsPWyRRmtqHeffiXr,https://api.spotify.com/v1/audio-analysis/75SixhsPWyRRmtqHeffiXr,203413,4
8,0.566,0.815,9,-4.481,0,0.14,0.0737,0.0,0.12,0.672,169.961,audio_features,4948g5UqwZFLGI8UTOXqdi,spotify:track:4948g5UqwZFLGI8UTOXqdi,https://api.spotify.com/v1/tracks/4948g5UqwZFLGI8UTOXqdi,https://api.spotify.com/v1/audio-analysis/4948g5UqwZFLGI8UTOXqdi,185587,4
9,0.522,0.889,1,-4.137,1,0.0461,0.00328,0.0,0.345,0.852,144.499,audio_features,0hAMkY2kwdXPPDfQ1e3BmJ,spotify:track:0hAMkY2kwdXPPDfQ1e3BmJ,https://api.spotify.com/v1/tracks/0hAMkY2kwdXPPDfQ1e3BmJ,https://api.spotify.com/v1/audio-analysis/0hAMkY2kwdXPPDfQ1e3BmJ,141133,4
10,0.535,0.948,6,-4.19,0,0.0356,0.00225,0.0,0.376,0.778,103.183,audio_features,3DQVgcqaP3iSMbaKsd57l5,spotify:track:3DQVgcqaP3iSMbaKsd57l5,https://api.spotify.com/v1/tracks/3DQVgcqaP3iSMbaKsd57l5,https://api.spotify.com/v1/audio-analysis/3DQVgcqaP3iSMbaKsd57l5,173680,4
11,0.663,0.72,3,-5.497,1,0.0331,0.00212,0.0,0.358,0.608,135.342,audio_features,65mxB9IWpmVo4qUjdGSxRB,spotify:track:65mxB9IWpmVo4qUjdGSxRB,https://api.spotify.com/v1/tracks/65mxB9IWpmVo4qUjdGSxRB,https://api.spotify.com/v1/audio-analysis/65mxB9IWpmVo4qUjdGSxRB,183493,4
12,0.607,0.878,4,-4.422,1,0.0665,0.000246,0.0,0.337,0.853,119.955,audio_features,4UuHWIkAWnN176A2rx7YFB,spotify:track:4UuHWIkAWnN176A2rx7YFB,https://api.spotify.com/v1/tracks/4UuHWIkAWnN176A2rx7YFB,https://api.spotify.com/v1/audio-analysis/4UuHWIkAWnN176A2rx7YFB,193000,4
13,0.536,0.923,2,-3.494,1,0.125,0.0122,0.0,0.142,0.77,160.03,audio_features,1bhjMY5O0ZjB41OHcdRH0a,spotify:track:1bhjMY5O0ZjB41OHcdRH0a,https://api.spotify.com/v1/tracks/1bhjMY5O0ZjB41OHcdRH0a,https://api.spotify.com/v1/audio-analysis/1bhjMY5O0ZjB41OHcdRH0a,209040,4
14,0.546,0.882,11,-4.019,1,0.0394,0.000784,0.0,0.186,0.64,139.966,audio_features,6TclVCUxDQm9s3Bey6Ao8H,spotify:track:6TclVCUxDQm9s3Bey6Ao8H,https://api.spotify.com/v1/tracks/6TclVCUxDQm9s3Bey6Ao8H,https://api.spotify.com/v1/audio-analysis/6TclVCUxDQm9s3Bey6Ao8H,206160,4
15,0.575,0.844,2,-4.402,1,0.0516,0.000756,0.0,0.315,0.845,130.982,audio_features,5R4UtkoueIomI2z3Ei8B38,spotify:track:5R4UtkoueIomI2z3Ei8B38,https://api.spotify.com/v1/tracks/5R4UtkoueIomI2z3Ei8B38,https://api.spotify.com/v1/audio-analysis/5R4UtkoueIomI2z3Ei8B38,197613,4
16,0.63,0.936,4,-4.576,1,0.084,0.00128,0.0,0.0823,0.733,117.962,audio_features,1AHGrKFv3nSCH9K7yg8gOz,spotify:track:1AHGrKFv3nSCH9K7yg8gOz,https://api.spotify.com/v1/tracks/1AHGrKFv3nSCH9K7yg8gOz,https://api.spotify.com/v1/audio-analysis/1AHGrKFv3nSCH9K7yg8gOz,184322,4
17,0.404,0.98,2,-4.021,1,0.107,0.000186,0.0,0.0723,0.433,177.797,audio_features,4pImG3RdbaGfanzQOTFgyr,spotify:track:4pImG3RdbaGfanzQOTFgyr,https://api.spotify.com/v1/tracks/4pImG3RdbaGfanzQOTFgyr,https://api.spotify.com/v1/audio-analysis/4pImG3RdbaGfanzQOTFgyr,220200,4
18,0.569,0.843,9,-5.875,1,0.0503,0.000189,0.0,0.0607,0.76,116.045,audio_features,1HNE2PX70ztbEl6MLxrpNL,spotify:track:1HNE2PX70ztbEl6MLxrpNL,https://api.spotify.com/v1/tracks/1HNE2PX70ztbEl6MLxrpNL,https://api.spotify.com/v1/audio-analysis/1HNE2PX70ztbEl6MLxrpNL,207093,4
19,0.425,0.983,10,-3.437,1,0.114,0.000263,0.0,0.114,0.513,149.95,audio_features,0T8P86fvSK8kCUJFYPZbIH,spotify:track:0T8P86fvSK8kCUJFYPZbIH,https://api.spotify.com/v1/tracks/0T8P86fvSK8kCUJFYPZbIH,https://api.spotify.com/v1/audio-analysis/0T8P86fvSK8kCUJFYPZbIH,197200,4
20,0.55,0.917,0,-3.159,1,0.0638,0.00428,0.0,0.197,0.601,126.115,audio_features,6TfBA04WJ3X1d1wXhaCFVT,spotify:track:6TfBA04WJ3X1d1wXhaCFVT,https://api.spotify.com/v1/tracks/6TfBA04WJ3X1d1wXhaCFVT,https://api.spotify.com/v1/audio-analysis/6TfBA04WJ3X1d1wXhaCFVT,177827,4
21,0.514,0.902,6,-4.729,0,0.383,0.031,0.0,0.093,0.628,175.166,audio_features,46jHE9rVH5HqZ7VKZHPinC,spotify:track:46jHE9rVH5HqZ7VKZHPinC,https://api.spotify.com/v1/tracks/46jHE9rVH5HqZ7VKZHPinC,https://api.spotify.com/v1/audio-analysis/46jHE9rVH5HqZ7VKZHPinC,238419,5
22,0.743,0.782,9,-3.976,1,0.052,0.000831,0.000198,0.166,0.457,139.01,audio_features,4698LDOlADHX2WmTRR2N4C,spotify:track:4698LDOlADHX2WmTRR2N4C,https://api.spotify.com/v1/tracks/4698LDOlADHX2WmTRR2N4C,https://api.spotify.com/v1/audio-analysis/4698LDOlADHX2WmTRR2N4C,184398,4
23,0.469,0.823,4,-3.973,1,0.468,0.811,0.0,0.598,0.946,74.456,audio_features,4P8dRfSz0LBgyWfjod6v3J,spotify:track:4P8dRfSz0LBgyWfjod6v3J,https://api.spotify.com/v1/tracks/4P8dRfSz0LBgyWfjod6v3J,https://api.spotify.com/v1/audio-analysis/4P8dRfSz0LBgyWfjod6v3J,179564,4
24,0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003,audio_features,7MXVkk9YMctZqd1Srtv4MB,spotify:track:7MXVkk9YMctZqd1Srtv4MB,https://api.spotify.com/v1/tracks/7MXVkk9YMctZqd1Srtv4MB,https://api.spotify.com/v1/audio-analysis/7MXVkk9YMctZqd1Srtv4MB,230453,4
