,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.611,0.366,4,-10.89,0,0.291,0.874,0.000515,0.0838,0.593,146.052,audio_features,1ygVkGM0Uk0M7ULenlZGaf,spotify:track:1ygVkGM0Uk0M7ULenlZGaf,https://api.spotify.com/v1/tracks/1ygVkGM0Uk0M7ULenlZGaf,https://api.spotify.com/v1/audio-analysis/1ygVkGM0Uk0M7ULenlZGaf,158173,4
1,0.512,0.511,2,-8.645,0,0.03,0.662,0.000199,0.209,0.589,89.499,audio_features,6U03Orwr5Dxt8jahLnQpYV,spotify:track:6U03Orwr5Dxt8jahLnQpYV,https://api.spotify.com/v1/tracks/6U03Orwr5Dxt8jahLnQpYV,https://api.spotify.com/v1/audio-analysis/6U03Orwr5Dxt8jahLnQpYV,179293,4
2,0.797,0.355,11,-14.592,0,0.0651,0.872,5.72e-05,0.0857,0.961,87.574,audio_features,2MzS7IK7ZXuk48Btb3EDMy,spotify:track:2MzS7IK7ZXuk48Btb3EDMy,https://api.spotify.com/v1/tracks/2MzS7IK7ZXuk48Btb3EDMy,https://api.spotify.com/v1/audio-analysis/2MzS7IK7ZXuk48Btb3EDMy,118805,4
3,0.426,0.231,2,-16.066,1,0.0359,0.74,0.0,0.172,0.667,177.98,audio_features,4pSSmEzKzGo6ehVriMb77D,spotify:track:4pSSmEzKzGo6ehVriMb77D,https://api.spotify.com/v1/tracks/4pSSmEzKzGo6ehVriMb77D,https://api.spotify.com/v1/audio-analysis/4pSSmEzKzGo6ehVriMb77D,122044,4
4,0.508,0.279,6,-15.586,0,0.0384,0.783,0.0,0.14,0.728,83.261,audio_features,3LhM43JzrSMUgTzs7wfn0u,spotify:track:3LhM43JzrSMUgTzs7wfn0u,https://api.spotify.com/v1/tracks/3LhM43JzrSMUgTzs7wfn0u,https://api.spotify.com/v1/audio-analysis/3LhM43JzrSMUgTzs7wfn0u,116611,4
5,0.597,0.549,0,-11.817,1,0.0543,0.372,0.000923,0.0992,0.866,159.381,audio_features,2moGHNaU8a4j1iowyOiYnF,spotify:track:2moGHNaU8a4j1iowyOiYnF,https://api.spotify.com/v1/tracks/2moGHNaU8a4j1iowyOiYnF,https://api.spotify.com/v1/audio-analysis/2moGHNaU8a4j1iowyOiYnF,182160,4
6,0.654,0.147,10,-17.844,0,0.039,0.867,0.000923,0.0986,0.472,130.359,audio_features,7znjbX9XdoQayIrVNdd50Z,spotify:track:7znjbX9XdoQayIrVNdd50Z,https://api.spotify.com/v1/tracks/7znjbX9XdoQayIrVNdd50Z,https://api.spotify.com/v1/audio-analysis/7znjbX9XdoQayIrVNdd50Z,320253,4
7,0.53,0.327,9,-11.132,1,0.0376,0.888,0.0,0.172,0.598,82.389,audio_features,224NwoB8JGiZ61orDUK9ut,spotify:track:224NwoB8JGiZ61orDUK9ut,https://api.spotify.com/v1/tracks/224NwoB8JGiZ61orDUK9ut,https://api.spotify.com/v1/audio-analysis/224NwoB8JGiZ61orDUK9ut,98351,4
8,0.695,0.446,2,-14.791,0,0.107,0.476,0.0,0.0585,0.904,168.887,audio_features,5OA1OTr9Lkr8DHCobeTWUy,spotify:track:5OA1OTr9Lkr8DHCobeTWUy,https://api.spotify.com/v1/tracks/5OA1OTr9Lkr8DHCobeTWUy,https://api.spotify.com/v1/audio-analysis/5OA1OTr9Lkr8DHCobeTWUy,271467,4
9,0.358,0.504,11,-8.93,0,0.0419,0.865,0.0,0.592,0.444,82.033,audio_features,70IaHdZwZ62jwPx08I2NMq,spotify:track:70IaHdZwZ62jwPx08I2NMq,https://api.spotify.com/v1/tracks/70IaHdZwZ62jwPx08I2NMq,https://api.spotify.com/v1/audio-analysis/70IaHdZwZ62jwPx08I2NMq,136693,4
10,0.638,0.283,0,-20.356,0,0.0404,0.556,0.0601,0.0814,0.887,80.167,audio_features,6WniximOsNpUYr6HL6fiTz,spotify:track:6WniximOsNpUYr6HL6fiTz,https://api.spotify.com/v1/tracks/6WniximOsNpUYr6HL6fiTz,https://api.spotify.com/v1/audio-analysis/6WniximOsNpUYr6HL6fiTz,149453,4
11,0.559,0.276,7,-21.506,0,0.0446,0.704,0.00924,0.109,0.514,90.23,audio_features,2TDf04arGq5CrZiYlduMVY,spotify:track:2TDf04arGq5CrZiYlduMVY,https://api.spotify.com/v1/tracks/2TDf04arGq5CrZiYlduMVY,https://api.spotify.com/v1/audio-analysis/2TDf04arGq5CrZiYlduMVY,257133,4
12,0.666,0.297,7,-17.149,0,0.278,0.882,5.54e-06,0.7,0.644,109.481,audio_features,1YZObTpedYVuE7L6c5PKCG,spotify:track:1YZObTpedYVuE7L6c5PKCG,https://api.spotify.com/v1/tracks/1YZObTpedYVuE7L6c5PKCG,https://api.spotify.com/v1/audio-analysis/1YZObTpedYVuE7L6c5PKCG,152533,4
13,0.583,0.617,10,-10.802,0,0.0354,0.72,0.000726,0.134,0.678,81.704,audio_features,5PaAhtKZdtk9F2OAyQvrLA,spotify:track:5PaAhtKZdtk9F2OAyQvrLA,https://api.spotify.com/v1/tracks/5PaAhtKZdtk9F2OAyQvrLA,https://api.spotify.com/v1/audio-analysis/5PaAhtKZdtk9F2OAyQvrLA,189027,4
14,0.477,0.432,10,-15.219,1,0.357,0.946,0.0127,0.139,0.371,121.599,audio_features,0yG6Z2Mmu05inHxiQYtyYu,spotify:track:0yG6Z2Mmu05inHxiQYtyYu,https://api.spotify.com/v1/tracks/0yG6Z2Mmu05inHxiQYtyYu,https://api.spotify.com/v1/audio-analysis/0yG6Z2Mmu05inHxiQYtyYu,162240,4
15,0.401,0.165,2,-12.848,1,0.034,0.83,0.00109,0.182,0.335,117.544,audio_features,49C7wNmhHuyQn3RkPxLB2d,spotify:track:49C7wNmhHuyQn3RkPxLB2d,https://api.spotify.com/v1/tracks/49C7wNmhHuyQn3RkPxLB2d,https://api.spotify.com/v1/audio-analysis/49C7wNmhHuyQn3RkPxLB2d,132800,4
16,0.565,0.693,1,-9.365,1,0.0379,0.236,6.01e-06,0.218,0.909,98.671,audio_features,4rrgmslJClGLQ2oLry38iu,spotify:track:4rrgmslJClGLQ2oLry38iu,https://api.spotify.com/v1/tracks/4rrgmslJClGLQ2oLry38iu,https://api.spotify.com/v1/audio-analysis/4rrgmslJClGLQ2oLry38iu,130543,4
17,0.551,0.314,7,-20.679,1,0.0337,0.83,0.831,0.0861,0.873,144.926,audio_features,2hXBS8q9rGMovfG1S8FB4F,spotify:track:2hXBS8q9rGMovfG1S8FB4F,https://api.spotify.com/v1/tracks/2hXBS8q9rGMovfG1S8FB4F,https://api.spotify.com/v1/audio-analysis/2hXBS8q9rGMovfG1S8FB4F,176907,4
18,0.683,0.517,0,-11.86,0,0.23,0.7,1.22e-05,0.109,0.673,144.129,audio_features,15ouqiBsgL12olEwP3COsH,spotify:track:15ouqiBsgL12olEwP3COsH,https://api.spotify.com/v1/tracks/15ouqiBsgL12olEwP3COsH,https://api.spotify.com/v1/audio-analysis/15ouqiBsgL12olEwP3COsH,214004,4
19,0.392,0.6,4,-12.695,0,0.639,0.967,0.000582,0.756,0.768,133.1,audio_features,6xTGnlvkvnOaDiYhaFLi3I,spotify:track:6xTGnlvkvnOaDiYhaFLi3I,https://api.spotify.com/v1/tracks/6xTGnlvkvnOaDiYhaFLi3I,https://api.spotify.com/v1/audio-analysis/6xTGnlvkvnOaDiYhaFLi3I,180280,3
20,0.729,0.401,10,-9.458,1,0.0418,0.644,0.0,0.0757,0.549,134.704,audio_features,6mTfOxORhYlpnTvm7VrL6b,spotify:track:6mTfOxORhYlpnTvm7VrL6b,https://api.spotify.com/v1/tracks/6mTfOxORhYlpnTvm7VrL6b,https://api.spotify.com/v1/audio-analysis/6mTfOxORhYlpnTvm7VrL6b,184093,4
21,0.424,0.799,0,-6.0,1,0.144,0.492,0.0,0.408,0.688,82.794,audio_features,4877bJ149OUJZHTiU5Jg8P,spotify:track:4877bJ149OUJZHTiU5Jg8P,https://api.spotify.com/v1/tracks/4877bJ149OUJZHTiU5Jg8P,https://api.spotify.com/v1/audio-analysis/4877bJ149OUJZHTiU5Jg8P,250667,4
22,0.503,0.622,0,-6.89,1,0.0452,0.64,0.000212,0.575,0.522,97.704,audio_features,6MCaOLDl0epJPRN76H5S4N,spotify:track:6MCaOLDl0epJPRN76H5S4N,https://api.spotify.com/v1/tracks/6MCaOLDl0epJPRN76H5S4N,https://api.spotify.com/v1/audio-analysis/6MCaOLDl0epJPRN76H5S4N,252507,4
23,0.783,0.334,3,-14.251,0,0.048,0.851,1.51e-06,0.188,0.833,120.44,audio_features,7owfbQQ94pDzllXTi5Cyx5,spotify:track:7owfbQQ94pDzllXTi5Cyx5,https://api.spotify.com/v1/tracks/7owfbQQ94pDzllXTi5Cyx5,https://api.spotify.com/v1/audio-analysis/7owfbQQ94pDzllXTi5Cyx5,135600,4
24,0.518,0.535,2,-8.56,1,0.0338,0.601,1.91e-05,0.137,0.924,156.759,audio_features,0YojqXjn4xb5hblpFAhqJr,spotify:track:0YojqXjn4xb5hblpFAhqJr,https://api.spotify.com/v1/tracks/0YojqXjn4xb5hblpFAhqJr,https://api.spotify.com/v1/audio-analysis/0YojqXjn4xb5hblpFAhqJr,167067,4
25,0.601,0.0481,11,-22.113,0,0.0506,0.986,6.8e-05,0.182,0.269,105.418,audio_features,0zLs0xjw4MYcMiXHsOvSgk,spotify:track:0zLs0xjw4MYcMiXHsOvSgk,https://api.spotify.com/v1/tracks/0zLs0xjw4MYcMiXHsOvSgk,https://api.spotify.com/v1/audio-analysis/0zLs0xjw4MYcMiXHsOvSgk,281533,4
26,0.393,0.551,6,-8.287,0,0.0308,0.58,4.62e-06,0.0939,0.473,103.289,audio_features,0qL04yZ09tlwd4ZwQa4EwK,spotify:track:0qL04yZ09tlwd4ZwQa4EwK,https://api.spotify.com/v1/tracks/0qL04yZ09tlwd4ZwQa4EwK,https://api.spotify.com/v1/audio-analysis/0qL04yZ09tlwd4ZwQa4EwK,246267,4
27,0.413,0.219,4,-18.667,0,0.0397,0.903,0.00386,0.112,0.31,101.541,audio_features,4JA89bJXOUl8OaGDkrhaoi,spotify:track:4JA89bJXOUl8OaGDkrhaoi,https://api.spotify.com/v1/tracks/4JA89bJXOUl8OaGDkrhaoi,https://api.spotify.com/v1/audio-analysis/4JA89bJXOUl8OaGDkrhaoi,388640,4
