,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.234,0.126,0,-25.427,1,0.0446,0.989,0.896,0.102,0.216,133.998,audio_features,4SFBV7SRNG2e2kyL1F6kjU,spotify:track:4SFBV7SRNG2e2kyL1F6kjU,https://api.spotify.com/v1/tracks/4SFBV7SRNG2e2kyL1F6kjU,https://api.spotify.com/v1/audio-analysis/4SFBV7SRNG2e2kyL1F6kjU,139307,4
1,0.275,0.157,7,-18.752,1,0.0636,0.89,0.842,0.186,0.304,73.289,audio_features,17i5jLpzndlQhbS4SrTd0B,spotify:track:17i5jLpzndlQhbS4SrTd0B,https://api.spotify.com/v1/tracks/17i5jLpzndlQhbS4SrTd0B,https://api.spotify.com/v1/audio-analysis/17i5jLpzndlQhbS4SrTd0B,152280,4
2,0.289,0.0306,9,-30.79,0,0.0446,0.987,0.911,0.102,0.118,125.61,audio_features,3zLTPuucd3e6TxZnu2dlVS,spotify:track:3zLTPuucd3e6TxZnu2dlVS,https://api.spotify.com/v1/tracks/3zLTPuucd3e6TxZnu2dlVS,https://api.spotify.com/v1/audio-analysis/3zLTPuucd3e6TxZnu2dlVS,212067,3
3,0.169,0.0161,9,-31.034,0,0.0442,0.986,0.86,0.0805,0.0573,128.143,audio_features,0jOnZhF75V68VsBObWx2XO,spotify:track:0jOnZhF75V68VsBObWx2XO,https://api.spotify.com/v1/tracks/0jOnZhF75V68VsBObWx2XO,https://api.spotify.com/v1/audio-analysis/0jOnZhF75V68VsBObWx2XO,174267,3
4,0.0838,0.126,2,-22.869,1,0.0458,0.925,0.95,0.105,0.0634,170.51,audio_features,2MwpbHdM5VDdPVYdoKzBQP,spotify:track:2MwpbHdM5VDdPVYdoKzBQP,https://api.spotify.com/v1/tracks/2MwpbHdM5VDdPVYdoKzBQP,https://api.spotify.com/v1/audio-analysis/2MwpbHdM5VDdPVYdoKzBQP,364920,3
5,0.123,0.15,2,-16.647,1,0.035,0.714,0.913,0.103,0.0904,84.183,audio_features,712Pm7DCa8lL8dGZ7LdXQS,spotify:track:712Pm7DCa8lL8dGZ7LdXQS,https://api.spotify.com/v1/tracks/712Pm7DCa8lL8dGZ7LdXQS,https://api.spotify.com/v1/audio-analysis/712Pm7DCa8lL8dGZ7LdXQS,300613,4
6,0.0939,0.0336,2,-24.041,0,0.0606,0.927,0.83,0.0954,0.0516,67.359,audio_features,1upQiytDIEZfl9ItruoXuC,spotify:track:1upQiytDIEZfl9ItruoXuC,https://api.spotify.com/v1/tracks/1upQiytDIEZfl9ItruoXuC,https://api.spotify.com/v1/audio-analysis/1upQiytDIEZfl9ItruoXuC,207267,3
7,0.136,0.164,4,-18.756,0,0.0364,0.911,0.916,0.109,0.071,58.303,audio_features,2xizRhme7pYeITbH1NLLGt,spotify:track:2xizRhme7pYeITbH1NLLGt,https://api.spotify.com/v1/tracks/2xizRhme7pYeITbH1NLLGt,https://api.spotify.com/v1/audio-analysis/2xizRhme7pYeITbH1NLLGt,166867,4
8,0.32,0.00501,1,-33.366,1,0.0455,0.993,0.919,0.0618,0.0383,68.947,audio_features,1cmigB9I6IRpFqjIbzvSQB,spotify:track:1cmigB9I6IRpFqjIbzvSQB,https://api.spotify.com/v1/tracks/1cmigB9I6IRpFqjIbzvSQB,https://api.spotify.com/v1/audio-analysis/1cmigB9I6IRpFqjIbzvSQB,294960,5
9,0.376,0.00579,5,-31.615,0,0.0576,0.996,0.944,0.0882,0.0369,71.827,audio_features,5fdp9rXfEixCGLM1Og4EN1,spotify:track:5fdp9rXfEixCGLM1Og4EN1,https://api.spotify.com/v1/tracks/5fdp9rXfEixCGLM1Og4EN1,https://api.spotify.com/v1/audio-analysis/5fdp9rXfEixCGLM1Og4EN1,296480,4
