,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.7,0.896,2,-2.276,1,0.191,0.108,0.0,0.453,0.817,102.065,audio_features,5s7m2xNZWgz5FqVSIvJcGA,spotify:track:5s7m2xNZWgz5FqVSIvJcGA,https://api.spotify.com/v1/tracks/5s7m2xNZWgz5FqVSIvJcGA,https://api.spotify.com/v1/audio-analysis/5s7m2xNZWgz5FqVSIvJcGA,200307,4
1,0.51,0.929,6,-4.685,1,0.0456,0.0608,5.39e-06,0.101,0.438,122.036,audio_features,3R0l4ivVzkajiNAYH07ZKl,spotify:track:3R0l4ivVzkajiNAYH07ZKl,https://api.spotify.com/v1/tracks/3R0l4ivVzkajiNAYH07ZKl,https://api.spotify.com/v1/audio-analysis/3R0l4ivVzkajiNAYH07ZKl,201350,4
2,0.644,0.904,2,-4.532,1,0.0464,0.0295,0.0,0.0834,0.672,105.969,audio_features,0JbSghVDghtFEurrSO8JrC,spotify:track:0JbSghVDghtFEurrSO8JrC,https://api.spotify.com/v1/tracks/0JbSghVDghtFEurrSO8JrC,https://api.spotify.com/v1/audio-analysis/0JbSghVDghtFEurrSO8JrC,225560,4
3,0.483,0.432,8,-7.656,1,0.0343,0.836,5.19e-05,0.199,0.296,78.262,audio_features,1PoGWZbJPGmViVi7CYbDUK,spotify:track:1PoGWZbJPGmViVi7CYbDUK,https://api.spotify.com/v1/tracks/1PoGWZbJPGmViVi7CYbDUK,https://api.spotify.com/v1/audio-analysis/1PoGWZbJPGmViVi7CYbDUK,202627,4
4,0.614,0.913,7,-5.126,1,0.0296,0.0042,1.72e-06,0.26,0.92,141.982,audio_features,6KGtAlYvgm4W9PoYabFAYE,spotify:track:6KGtAlYvgm4W9PoYabFAYE,https://api.spotify.com/v1/tracks/6KGtAlYvgm4W9PoYabFAYE,https://api.spotify.com/v1/audio-analysis/6KGtAlYvgm4W9PoYabFAYE,206865,4
5,0.617,0.839,0,-2.849,0,0.0655,0.0286,0.0,0.19,0.741,128.91,audio_features,3axzRedIvdndFIrVrm7V1S,spotify:track:3axzRedIvdndFIrVrm7V1S,https://api.spotify.com/v1/tracks/3axzRedIvdndFIrVrm7V1S,https://api.spotify.com/v1/audio-analysis/3axzRedIvdndFIrVrm7V1S,205560,4
6,0.531,0.843,9,-2.569,0,0.0429,0.0909,0.0,0.0283,0.392,136.991,audio_features,4WHPhQuEL44BpslQkOsCHG,spotify:track:4WHPhQuEL44BpslQkOsCHG,https://api.spotify.com/v1/tracks/4WHPhQuEL44BpslQkOsCHG,https://api.spotify.com/v1/audio-analysis/4WHPhQuEL44BpslQkOsCHG,240133,4
7,0.555,0.854,5,-4.468,0,0.0609,0.0223,3.95e-06,0.0672,0.448,119.991,audio_features,5dNJatz0iFlprRjdUogb5C,spotify:track:5dNJatz0iFlprRjdUogb5C,https://api.spotify.com/v1/tracks/5dNJatz0iFlprRjdUogb5C,https://api.spotify.com/v1/audio-analysis/5dNJatz0iFlprRjdUogb5C,297947,4
8,0.519,0.749,6,-3.318,0,0.0405,0.271,0.0,0.119,0.29,147.905,audio_features,0ZUo4YjG4saFnEJhdWp9Bt,spotify:track:0ZUo4YjG4saFnEJhdWp9Bt,https://api.spotify.com/v1/tracks/0ZUo4YjG4saFnEJhdWp9Bt,https://api.spotify.com/v1/audio-analysis/0ZUo4YjG4saFnEJhdWp9Bt,199947,4
9,0.616,0.68,6,-4.581,1,0.0288,0.361,1.18e-06,0.116,0.687,149.951,audio_features,57TEkZN3f84tFJFHFrD4pO,spotify:track:57TEkZN3f84tFJFHFrD4pO,https://api.spotify.com/v1/tracks/57TEkZN3f84tFJFHFrD4pO,https://api.spotify.com/v1/audio-analysis/57TEkZN3f84tFJFHFrD4pO,234347,4
