,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.344,0.458,3,-9.271,1,0.0475,0.719,0.0046,0.209,0.341,77.599,audio_features,2HuVgtdHJGM761idTmfdDo,spotify:track:2HuVgtdHJGM761idTmfdDo,https://api.spotify.com/v1/tracks/2HuVgtdHJGM761idTmfdDo,https://api.spotify.com/v1/audio-analysis/2HuVgtdHJGM761idTmfdDo,461283,4
1,0.674,0.559,9,-6.354,1,0.0303,0.849,0.000139,0.194,0.683,120.055,audio_features,2eiOOMb5V2tPY9VTmBbMME,spotify:track:2eiOOMb5V2tPY9VTmBbMME,https://api.spotify.com/v1/tracks/2eiOOMb5V2tPY9VTmBbMME,https://api.spotify.com/v1/audio-analysis/2eiOOMb5V2tPY9VTmBbMME,289972,3
2,0.422,0.552,6,-8.347,1,0.036,0.661,0.217,0.116,0.236,139.892,audio_features,0Fkz1sfYAK6z8Yut4EVD4D,spotify:track:0Fkz1sfYAK6z8Yut4EVD4D,https://api.spotify.com/v1/tracks/0Fkz1sfYAK6z8Yut4EVD4D,https://api.spotify.com/v1/audio-analysis/0Fkz1sfYAK6z8Yut4EVD4D,244975,3
3,0.375,0.612,5,-9.085,1,0.132,0.179,7.71e-06,0.48,0.445,170.021,audio_features,79XHrJNsROhUxi0UPXor4v,spotify:track:79XHrJNsROhUxi0UPXor4v,https://api.spotify.com/v1/tracks/79XHrJNsROhUxi0UPXor4v,https://api.spotify.com/v1/audio-analysis/79XHrJNsROhUxi0UPXor4v,275000,4
4,0.326,0.372,8,-12.065,1,0.268,0.296,0.46,0.25,0.242,198.004,audio_features,19lu7zlaFr7EmrlS1OaKPB,spotify:track:19lu7zlaFr7EmrlS1OaKPB,https://api.spotify.com/v1/tracks/19lu7zlaFr7EmrlS1OaKPB,https://api.spotify.com/v1/audio-analysis/19lu7zlaFr7EmrlS1OaKPB,156900,4
5,0.674,0.609,1,-9.329,1,0.0476,0.267,1.17e-06,0.105,0.113,110.016,audio_features,33mqdecKrXjGk1JZQGuQ5f,spotify:track:33mqdecKrXjGk1JZQGuQ5f,https://api.spotify.com/v1/tracks/33mqdecKrXjGk1JZQGuQ5f,https://api.spotify.com/v1/audio-analysis/33mqdecKrXjGk1JZQGuQ5f,310320,4
6,0.595,0.474,1,-7.989,1,0.0309,0.585,3.82e-06,0.225,0.306,140.065,audio_features,6J14UQWmV5WPTwMv2SPOag,spotify:track:6J14UQWmV5WPTwMv2SPOag,https://api.spotify.com/v1/tracks/6J14UQWmV5WPTwMv2SPOag,https://api.spotify.com/v1/audio-analysis/6J14UQWmV5WPTwMv2SPOag,351515,4
7,0.269,0.779,2,-5.135,1,0.0519,0.0463,1.73e-06,0.0892,0.384,150.04,audio_features,1TOQb1AwnZLzrAu4VXZUIO,spotify:track:1TOQb1AwnZLzrAu4VXZUIO,https://api.spotify.com/v1/tracks/1TOQb1AwnZLzrAu4VXZUIO,https://api.spotify.com/v1/audio-analysis/1TOQb1AwnZLzrAu4VXZUIO,330922,3
8,0.233,0.548,0,-8.746,1,0.0348,0.793,0.181,0.27,0.194,153.229,audio_features,1Zi4I12vKHIPlvk87ZeD3Q,spotify:track:1Zi4I12vKHIPlvk87ZeD3Q,https://api.spotify.com/v1/tracks/1Zi4I12vKHIPlvk87ZeD3Q,https://api.spotify.com/v1/audio-analysis/1Zi4I12vKHIPlvk87ZeD3Q,749568,4
9,0.385,0.86,7,-7.159,1,0.114,0.714,2.83e-05,0.295,0.737,103.146,audio_features,0dFhCT3tJ73gQYPHM0dbNh,spotify:track:0dFhCT3tJ73gQYPHM0dbNh,https://api.spotify.com/v1/tracks/0dFhCT3tJ73gQYPHM0dbNh,https://api.spotify.com/v1/audio-analysis/0dFhCT3tJ73gQYPHM0dbNh,359834,4
10,0.535,0.433,7,-8.855,1,0.033,0.783,1.78e-05,0.59,0.414,120.529,audio_features,357T838i7RIdC7QVLLWWqC,spotify:track:357T838i7RIdC7QVLLWWqC,https://api.spotify.com/v1/tracks/357T838i7RIdC7QVLLWWqC,https://api.spotify.com/v1/audio-analysis/357T838i7RIdC7QVLLWWqC,380000,1
11,0.471,0.608,1,-6.584,1,0.0508,0.812,0.106,0.176,0.476,110.077,audio_features,77kdTp43iKwACd2YOiFx4e,spotify:track:77kdTp43iKwACd2YOiFx4e,https://api.spotify.com/v1/tracks/77kdTp43iKwACd2YOiFx4e,https://api.spotify.com/v1/audio-analysis/77kdTp43iKwACd2YOiFx4e,515055,4
