,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.652,0.968,0,-3.883,1,0.0857,0.058,0.0,0.144,0.731,99.962,audio_features,0LW6E8rEAltX9Svci5M3Z1,spotify:track:0LW6E8rEAltX9Svci5M3Z1,https://api.spotify.com/v1/tracks/0LW6E8rEAltX9Svci5M3Z1,https://api.spotify.com/v1/audio-analysis/0LW6E8rEAltX9Svci5M3Z1,260627,4
1,0.793,0.88,7,-2.712,1,0.0319,0.0554,3.67e-05,0.497,0.891,110.025,audio_features,3VuQoOFwJdcQ5IOamXlWZa,spotify:track:3VuQoOFwJdcQ5IOamXlWZa,https://api.spotify.com/v1/tracks/3VuQoOFwJdcQ5IOamXlWZa,https://api.spotify.com/v1/audio-analysis/3VuQoOFwJdcQ5IOamXlWZa,250067,4
2,0.803,0.431,4,-8.271,0,0.328,0.216,0.0,0.0864,0.561,133.861,audio_features,2OFK4w8BI3gU4kn0ieHSJc,spotify:track:2OFK4w8BI3gU4kn0ieHSJc,https://api.spotify.com/v1/tracks/2OFK4w8BI3gU4kn0ieHSJc,https://api.spotify.com/v1/audio-analysis/2OFK4w8BI3gU4kn0ieHSJc,242333,4
3,0.852,0.76,7,-6.864,1,0.0355,0.216,1.69e-06,0.245,0.941,105.022,audio_features,10dxjxvKWTuJmG6vBKMz8j,spotify:track:10dxjxvKWTuJmG6vBKMz8j,https://api.spotify.com/v1/tracks/10dxjxvKWTuJmG6vBKMz8j,https://api.spotify.com/v1/audio-analysis/10dxjxvKWTuJmG6vBKMz8j,251973,4
4,0.673,0.995,11,-2.6,0,0.129,0.0238,0.0,0.303,0.359,144.007,audio_features,2I0ZI9OGrihh0Dbn8RVSr8,spotify:track:2I0ZI9OGrihh0Dbn8RVSr8,https://api.spotify.com/v1/tracks/2I0ZI9OGrihh0Dbn8RVSr8,https://api.spotify.com/v1/audio-analysis/2I0ZI9OGrihh0Dbn8RVSr8,232160,4
5,0.809,0.883,9,-5.176,0,0.214,0.0142,0.0,0.12,0.888,105.119,audio_features,5uvNlHJPu9mOcYT64rxRbl,spotify:track:5uvNlHJPu9mOcYT64rxRbl,https://api.spotify.com/v1/tracks/5uvNlHJPu9mOcYT64rxRbl,https://api.spotify.com/v1/audio-analysis/5uvNlHJPu9mOcYT64rxRbl,201867,4
6,0.813,0.846,11,-4.082,0,0.039,0.0482,0.0,0.0963,0.865,103.0,audio_features,5Qy3PCR9u6KeNAjRV405uv,spotify:track:5Qy3PCR9u6KeNAjRV405uv,https://api.spotify.com/v1/tracks/5Qy3PCR9u6KeNAjRV405uv,https://api.spotify.com/v1/audio-analysis/5Qy3PCR9u6KeNAjRV405uv,216133,4
7,0.815,0.911,0,-3.367,1,0.0586,0.0203,1.17e-05,0.22,0.871,118.004,audio_features,2lo3hI7t1AQCCoeqrxYexu,spotify:track:2lo3hI7t1AQCCoeqrxYexu,https://api.spotify.com/v1/tracks/2lo3hI7t1AQCCoeqrxYexu,https://api.spotify.com/v1/audio-analysis/2lo3hI7t1AQCCoeqrxYexu,211427,4
8,0.794,0.925,9,-4.842,0,0.121,0.0361,0.0,0.285,0.787,103.025,audio_features,5VOTPW5potAFI9gH3QrjV5,spotify:track:5VOTPW5potAFI9gH3QrjV5,https://api.spotify.com/v1/tracks/5VOTPW5potAFI9gH3QrjV5,https://api.spotify.com/v1/audio-analysis/5VOTPW5potAFI9gH3QrjV5,208440,4
9,0.768,0.937,11,-5.637,0,0.0523,0.0111,1.18e-06,0.177,0.77,133.046,audio_features,2ppv5E2a22qoXwYdL6GjvS,spotify:track:2ppv5E2a22qoXwYdL6GjvS,https://api.spotify.com/v1/tracks/2ppv5E2a22qoXwYdL6GjvS,https://api.spotify.com/v1/audio-analysis/2ppv5E2a22qoXwYdL6GjvS,211373,4
10,0.706,0.835,0,-4.357,1,0.0506,0.0813,0.00165,0.336,0.771,93.943,audio_features,6whFRgwg7je2SYzpSfansM,spotify:track:6whFRgwg7je2SYzpSfansM,https://api.spotify.com/v1/tracks/6whFRgwg7je2SYzpSfansM,https://api.spotify.com/v1/audio-analysis/6whFRgwg7je2SYzpSfansM,245773,4
11,0.638,0.781,7,-6.364,1,0.0519,0.0334,0.000351,0.085,0.813,87.994,audio_features,3b0Bt0CBAEesLLO0CifT5r,spotify:track:3b0Bt0CBAEesLLO0CifT5r,https://api.spotify.com/v1/tracks/3b0Bt0CBAEesLLO0CifT5r,https://api.spotify.com/v1/audio-analysis/3b0Bt0CBAEesLLO0CifT5r,281760,4
12,0.762,0.867,6,-3.098,1,0.0486,0.0576,5.47e-05,0.152,0.716,99.996,audio_features,6jNlqfd6N7IUe0mEm0z8So,spotify:track:6jNlqfd6N7IUe0mEm0z8So,https://api.spotify.com/v1/tracks/6jNlqfd6N7IUe0mEm0z8So,https://api.spotify.com/v1/audio-analysis/6jNlqfd6N7IUe0mEm0z8So,226173,4
13,0.696,0.569,5,-5.234,1,0.145,0.0267,0.0,0.0265,0.78,167.978,audio_features,4ozA939dJl4dnAtwM8LObN,spotify:track:4ozA939dJl4dnAtwM8LObN,https://api.spotify.com/v1/tracks/4ozA939dJl4dnAtwM8LObN,https://api.spotify.com/v1/audio-analysis/4ozA939dJl4dnAtwM8LObN,262293,4
14,0.684,0.818,10,-9.063,1,0.0625,0.427,0.0,0.269,0.634,102.989,audio_features,37Bv9wyQg01DjaMe4uj93a,spotify:track:37Bv9wyQg01DjaMe4uj93a,https://api.spotify.com/v1/tracks/37Bv9wyQg01DjaMe4uj93a,https://api.spotify.com/v1/audio-analysis/37Bv9wyQg01DjaMe4uj93a,234888,4
15,0.554,0.907,2,-6.052,1,0.316,0.0698,0.0,0.121,0.53,180.024,audio_features,2aS8459W3fVdMa2r8sRSd8,spotify:track:2aS8459W3fVdMa2r8sRSd8,https://api.spotify.com/v1/tracks/2aS8459W3fVdMa2r8sRSd8,https://api.spotify.com/v1/audio-analysis/2aS8459W3fVdMa2r8sRSd8,236733,3
16,0.651,0.981,4,-2.437,0,0.133,0.0501,0.0,0.35,0.556,101.955,audio_features,1ul8G5Eam9xzVGnG11Ull9,spotify:track:1ul8G5Eam9xzVGnG11Ull9,https://api.spotify.com/v1/tracks/1ul8G5Eam9xzVGnG11Ull9,https://api.spotify.com/v1/audio-analysis/1ul8G5Eam9xzVGnG11Ull9,235413,4
17,0.741,0.977,10,-2.318,1,0.044,0.134,0.0,0.145,0.951,119.988,audio_features,0K25zmumCzn2kFmh9zcLWy,spotify:track:0K25zmumCzn2kFmh9zcLWy,https://api.spotify.com/v1/tracks/0K25zmumCzn2kFmh9zcLWy,https://api.spotify.com/v1/audio-analysis/0K25zmumCzn2kFmh9zcLWy,217227,4
18,0.74,0.69,0,-6.241,1,0.0439,0.0181,0.0,0.0883,0.656,94.97,audio_features,5TnG4hgREznnqDYe9IYlZc,spotify:track:5TnG4hgREznnqDYe9IYlZc,https://api.spotify.com/v1/tracks/5TnG4hgREznnqDYe9IYlZc,https://api.spotify.com/v1/audio-analysis/5TnG4hgREznnqDYe9IYlZc,234400,4
19,0.84,0.775,5,-4.46,0,0.0555,0.128,3.11e-06,0.0509,0.908,94.141,audio_features,3LjJ0Hjqot5HDeL172lAcw,spotify:track:3LjJ0Hjqot5HDeL172lAcw,https://api.spotify.com/v1/tracks/3LjJ0Hjqot5HDeL172lAcw,https://api.spotify.com/v1/audio-analysis/3LjJ0Hjqot5HDeL172lAcw,210627,4
20,0.808,0.922,10,-5.031,0,0.0617,0.0361,0.0,0.142,0.824,105.969,audio_features,3ZfzsuGzbBiyPCtUgIoZGU,spotify:track:3ZfzsuGzbBiyPCtUgIoZGU,https://api.spotify.com/v1/tracks/3ZfzsuGzbBiyPCtUgIoZGU,https://api.spotify.com/v1/audio-analysis/3ZfzsuGzbBiyPCtUgIoZGU,248493,4
21,0.64,0.575,2,-6.36,1,0.0296,0.335,1.22e-06,0.142,0.478,138.97,audio_features,6NZUXr27vdx8gyWxVRrkLS,spotify:track:6NZUXr27vdx8gyWxVRrkLS,https://api.spotify.com/v1/tracks/6NZUXr27vdx8gyWxVRrkLS,https://api.spotify.com/v1/audio-analysis/6NZUXr27vdx8gyWxVRrkLS,260560,4
22,0.757,0.911,10,-4.005,0,0.0881,0.124,0.0,0.284,0.728,101.817,audio_features,5I8mg57tDvhGGGC3x14mIZ,spotify:track:5I8mg57tDvhGGGC3x14mIZ,https://api.spotify.com/v1/tracks/5I8mg57tDvhGGGC3x14mIZ,https://api.spotify.com/v1/audio-analysis/5I8mg57tDvhGGGC3x14mIZ,225560,4
23,0.73,0.844,9,-4.166,0,0.112,0.021,0.0,0.36,0.679,100.042,audio_features,5rvP5mbQ48itt4dtosn9Yf,spotify:track:5rvP5mbQ48itt4dtosn9Yf,https://api.spotify.com/v1/tracks/5rvP5mbQ48itt4dtosn9Yf,https://api.spotify.com/v1/audio-analysis/5rvP5mbQ48itt4dtosn9Yf,238773,4
24,0.827,0.584,7,-8.335,1,0.228,0.126,0.0,0.0836,0.692,102.054,audio_features,6A1uiSNxlOU8sndZRh9oZB,spotify:track:6A1uiSNxlOU8sndZRh9oZB,https://api.spotify.com/v1/tracks/6A1uiSNxlOU8sndZRh9oZB,https://api.spotify.com/v1/audio-analysis/6A1uiSNxlOU8sndZRh9oZB,211253,4
25,0.618,0.89,7,-4.785,1,0.035,0.0459,0.0194,0.0749,0.649,138.016,audio_features,5Z9XEChtLbIozP1JQlEjFP,spotify:track:5Z9XEChtLbIozP1JQlEjFP,https://api.spotify.com/v1/tracks/5Z9XEChtLbIozP1JQlEjFP,https://api.spotify.com/v1/audio-analysis/5Z9XEChtLbIozP1JQlEjFP,249227,4
