,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.826,0.49,9,-10.477,1,0.0676,0.00916,4.41e-06,0.0415,0.627,74.128,audio_features,7yFvSYKk3g5g8e7Ffl16ws,spotify:track:7yFvSYKk3g5g8e7Ffl16ws,https://api.spotify.com/v1/tracks/7yFvSYKk3g5g8e7Ffl16ws,https://api.spotify.com/v1/audio-analysis/7yFvSYKk3g5g8e7Ffl16ws,180267,4
1,0.811,0.428,7,-10.728,1,0.221,0.0122,0.317,0.344,0.653,80.962,audio_features,0INtJm8gCJKtNaAYQNVlpZ,spotify:track:0INtJm8gCJKtNaAYQNVlpZ,https://api.spotify.com/v1/tracks/0INtJm8gCJKtNaAYQNVlpZ,https://api.spotify.com/v1/audio-analysis/0INtJm8gCJKtNaAYQNVlpZ,277893,4
2,0.752,0.682,2,-7.425,1,0.178,0.244,0.00173,0.0842,0.778,77.966,audio_features,5kHSFEtrXMjXnqSrgdg4bx,spotify:track:5kHSFEtrXMjXnqSrgdg4bx,https://api.spotify.com/v1/tracks/5kHSFEtrXMjXnqSrgdg4bx,https://api.spotify.com/v1/audio-analysis/5kHSFEtrXMjXnqSrgdg4bx,219867,4
3,0.749,0.849,4,-5.761,0,0.0544,0.0299,0.000168,0.115,0.959,145.169,audio_features,5uPYEStMW3KsXnnLV7iCTw,spotify:track:5uPYEStMW3KsXnnLV7iCTw,https://api.spotify.com/v1/tracks/5uPYEStMW3KsXnnLV7iCTw,https://api.spotify.com/v1/audio-analysis/5uPYEStMW3KsXnnLV7iCTw,244253,4
4,0.886,0.522,7,-7.971,1,0.173,0.0477,0.00108,0.207,0.79,82.439,audio_features,34zWZOSpU2V1ab0PiZCcv4,spotify:track:34zWZOSpU2V1ab0PiZCcv4,https://api.spotify.com/v1/tracks/34zWZOSpU2V1ab0PiZCcv4,https://api.spotify.com/v1/audio-analysis/34zWZOSpU2V1ab0PiZCcv4,229160,4
5,0.758,0.786,4,-4.897,0,0.108,0.156,0.0,0.0658,0.786,83.495,audio_features,5Wwr2S7QZTR5PVJn6jhgdk,spotify:track:5Wwr2S7QZTR5PVJn6jhgdk,https://api.spotify.com/v1/tracks/5Wwr2S7QZTR5PVJn6jhgdk,https://api.spotify.com/v1/audio-analysis/5Wwr2S7QZTR5PVJn6jhgdk,234587,4
6,0.683,0.653,9,-7.586,0,0.113,0.0326,8.42e-06,0.0578,0.501,143.224,audio_features,0mD19MC6H0OzHvEUADHypU,spotify:track:0mD19MC6H0OzHvEUADHypU,https://api.spotify.com/v1/tracks/0mD19MC6H0OzHvEUADHypU,https://api.spotify.com/v1/audio-analysis/0mD19MC6H0OzHvEUADHypU,219160,4
7,0.586,0.663,4,-6.547,0,0.0825,0.161,0.0,0.198,0.693,170.743,audio_features,4abVwdCy5QUcyI3KS2lMJK,spotify:track:4abVwdCy5QUcyI3KS2lMJK,https://api.spotify.com/v1/tracks/4abVwdCy5QUcyI3KS2lMJK,https://api.spotify.com/v1/audio-analysis/4abVwdCy5QUcyI3KS2lMJK,217200,4
8,0.766,0.525,6,-10.356,0,0.099,0.00839,0.0,0.055,0.864,122.452,audio_features,4mPd1gJhgcYFRSJyoYAxE8,spotify:track:4mPd1gJhgcYFRSJyoYAxE8,https://api.spotify.com/v1/tracks/4mPd1gJhgcYFRSJyoYAxE8,https://api.spotify.com/v1/audio-analysis/4mPd1gJhgcYFRSJyoYAxE8,231547,4
9,0.66,0.486,5,-11.969,1,0.189,0.186,0.00097,0.207,0.936,121.863,audio_features,5ktLiFRny1waEnVkZNUa03,spotify:track:5ktLiFRny1waEnVkZNUa03,https://api.spotify.com/v1/tracks/5ktLiFRny1waEnVkZNUa03,https://api.spotify.com/v1/audio-analysis/5ktLiFRny1waEnVkZNUa03,202160,4
10,0.707,0.525,7,-7.356,1,0.302,0.017,0.000162,0.0771,0.476,200.753,audio_features,1G88BbuMts7HC0nHGoHmhv,spotify:track:1G88BbuMts7HC0nHGoHmhv,https://api.spotify.com/v1/tracks/1G88BbuMts7HC0nHGoHmhv,https://api.spotify.com/v1/audio-analysis/1G88BbuMts7HC0nHGoHmhv,247467,4
