,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.791,0.499,8,-8.472,0,0.0509,0.446,2.41e-05,0.0899,0.669,99.986,audio_features,6XjDF6nds4DE2BBbagZol6,spotify:track:6XjDF6nds4DE2BBbagZol6,https://api.spotify.com/v1/tracks/6XjDF6nds4DE2BBbagZol6,https://api.spotify.com/v1/audio-analysis/6XjDF6nds4DE2BBbagZol6,222000,4
1,0.924,0.668,11,-6.795,1,0.0469,0.446,0.000594,0.0678,0.787,128.027,audio_features,6WatFBLVB0x077xWeoVc2k,spotify:track:6WatFBLVB0x077xWeoVc2k,https://api.spotify.com/v1/tracks/6WatFBLVB0x077xWeoVc2k,https://api.spotify.com/v1/audio-analysis/6WatFBLVB0x077xWeoVc2k,195824,4
2,0.725,0.709,3,-5.017,0,0.129,0.321,0.000189,0.114,0.648,99.993,audio_features,5bi0gh89wRuH2OgjdAKFsb,spotify:track:5bi0gh89wRuH2OgjdAKFsb,https://api.spotify.com/v1/tracks/5bi0gh89wRuH2OgjdAKFsb,https://api.spotify.com/v1/audio-analysis/5bi0gh89wRuH2OgjdAKFsb,193039,4
3,0.774,0.86,7,-2.888,0,0.13,0.131,0.0,0.116,0.446,100.019,audio_features,7bywjHOc0wSjGGbj04XbVi,spotify:track:7bywjHOc0wSjGGbj04XbVi,https://api.spotify.com/v1/tracks/7bywjHOc0wSjGGbj04XbVi,https://api.spotify.com/v1/audio-analysis/7bywjHOc0wSjGGbj04XbVi,196800,4
4,0.775,0.581,1,-3.621,0,0.108,0.617,8.33e-06,0.0957,0.658,104.977,audio_features,1fTjqf10accJCDYstPwwZ6,spotify:track:1fTjqf10accJCDYstPwwZ6,https://api.spotify.com/v1/tracks/1fTjqf10accJCDYstPwwZ6,https://api.spotify.com/v1/audio-analysis/1fTjqf10accJCDYstPwwZ6,156577,4
5,0.807,0.874,1,-3.422,0,0.0566,0.0178,0.0,0.0768,0.855,93.023,audio_features,2AhTzExaPgf9A8AXK2D2QW,spotify:track:2AhTzExaPgf9A8AXK2D2QW,https://api.spotify.com/v1/tracks/2AhTzExaPgf9A8AXK2D2QW,https://api.spotify.com/v1/audio-analysis/2AhTzExaPgf9A8AXK2D2QW,196587,4
6,0.739,0.79,7,-5.401,1,0.165,0.033,0.0,0.0596,0.629,168.963,audio_features,10qhwiwVoeKVnF7mvr9Uqs,spotify:track:10qhwiwVoeKVnF7mvr9Uqs,https://api.spotify.com/v1/tracks/10qhwiwVoeKVnF7mvr9Uqs,https://api.spotify.com/v1/audio-analysis/10qhwiwVoeKVnF7mvr9Uqs,196271,4
7,0.8,0.898,9,-2.838,1,0.109,0.321,0.0,0.121,0.422,97.99,audio_features,2IdUuIfoOlVGRzfLWOs2YI,spotify:track:2IdUuIfoOlVGRzfLWOs2YI,https://api.spotify.com/v1/tracks/2IdUuIfoOlVGRzfLWOs2YI,https://api.spotify.com/v1/audio-analysis/2IdUuIfoOlVGRzfLWOs2YI,171422,4
8,0.8,0.738,7,-4.26,1,0.0691,0.372,0.00877,0.19,0.267,103.008,audio_features,7iUtQNMRB8ZkKC4AmEuCJC,spotify:track:7iUtQNMRB8ZkKC4AmEuCJC,https://api.spotify.com/v1/tracks/7iUtQNMRB8ZkKC4AmEuCJC,https://api.spotify.com/v1/audio-analysis/7iUtQNMRB8ZkKC4AmEuCJC,174230,4
9,0.778,0.765,4,-5.846,0,0.201,0.261,0.0,0.245,0.95,100.057,audio_features,16BnEVem95wJmrflq2oYh1,spotify:track:16BnEVem95wJmrflq2oYh1,https://api.spotify.com/v1/tracks/16BnEVem95wJmrflq2oYh1,https://api.spotify.com/v1/audio-analysis/16BnEVem95wJmrflq2oYh1,158400,4
10,0.798,0.797,11,-3.797,0,0.0471,0.382,0.00039,0.164,0.51,94.012,audio_features,3GWUv0TDO5E3cHfsxYeptt,spotify:track:3GWUv0TDO5E3cHfsxYeptt,https://api.spotify.com/v1/tracks/3GWUv0TDO5E3cHfsxYeptt,https://api.spotify.com/v1/audio-analysis/3GWUv0TDO5E3cHfsxYeptt,209424,4
11,0.745,0.789,11,-1.821,1,0.173,0.259,0.0,0.319,0.728,178.096,audio_features,5Ulsi8075EHzP2chQqbv86,spotify:track:5Ulsi8075EHzP2chQqbv86,https://api.spotify.com/v1/tracks/5Ulsi8075EHzP2chQqbv86,https://api.spotify.com/v1/audio-analysis/5Ulsi8075EHzP2chQqbv86,191518,4
12,0.763,0.626,5,-5.637,0,0.0433,0.0859,0.225,0.205,0.78,100.02,audio_features,5Uptvz6j1sjDKxidAcnH2L,spotify:track:5Uptvz6j1sjDKxidAcnH2L,https://api.spotify.com/v1/tracks/5Uptvz6j1sjDKxidAcnH2L,https://api.spotify.com/v1/audio-analysis/5Uptvz6j1sjDKxidAcnH2L,156171,4
13,0.786,0.854,10,-2.4,0,0.0741,0.169,2.39e-05,0.106,0.522,117.994,audio_features,0LZy30mVmxqUpdQmaXKXBd,spotify:track:0LZy30mVmxqUpdQmaXKXBd,https://api.spotify.com/v1/tracks/0LZy30mVmxqUpdQmaXKXBd,https://api.spotify.com/v1/audio-analysis/0LZy30mVmxqUpdQmaXKXBd,278644,4
14,0.713,0.59,1,-6.314,0,0.0823,0.604,5.47e-05,0.191,0.494,82.983,audio_features,08LQUEIr3H2IE8pmRDz9Y3,spotify:track:08LQUEIr3H2IE8pmRDz9Y3,https://api.spotify.com/v1/tracks/08LQUEIr3H2IE8pmRDz9Y3,https://api.spotify.com/v1/audio-analysis/08LQUEIr3H2IE8pmRDz9Y3,155744,4
15,0.805,0.89,11,-1.502,0,0.0634,0.0704,0.0,0.121,0.489,93.037,audio_features,0rNqDh9zWWJVTLS4VfceHP,spotify:track:0rNqDh9zWWJVTLS4VfceHP,https://api.spotify.com/v1/tracks/0rNqDh9zWWJVTLS4VfceHP,https://api.spotify.com/v1/audio-analysis/0rNqDh9zWWJVTLS4VfceHP,180360,4
16,0.701,0.73,11,-4.897,0,0.333,0.199,1.35e-05,0.102,0.398,185.998,audio_features,1qA5mz8lfjGxEgP2Hf0xpv,spotify:track:1qA5mz8lfjGxEgP2Hf0xpv,https://api.spotify.com/v1/tracks/1qA5mz8lfjGxEgP2Hf0xpv,https://api.spotify.com/v1/audio-analysis/1qA5mz8lfjGxEgP2Hf0xpv,228265,4
17,0.688,0.699,1,-5.105,1,0.182,0.0975,0.0,0.133,0.699,172.044,audio_features,6XhrMNZsZiKi68rQeoOR0b,spotify:track:6XhrMNZsZiKi68rQeoOR0b,https://api.spotify.com/v1/tracks/6XhrMNZsZiKi68rQeoOR0b,https://api.spotify.com/v1/audio-analysis/6XhrMNZsZiKi68rQeoOR0b,152957,4
