,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.682,0.695,1,-3.763,0,0.0852,0.454,0.0,0.305,0.728,129.998,audio_features,4EVzu5mYyigjyLrryKbZs7,spotify:track:4EVzu5mYyigjyLrryKbZs7,https://api.spotify.com/v1/tracks/4EVzu5mYyigjyLrryKbZs7,https://api.spotify.com/v1/audio-analysis/4EVzu5mYyigjyLrryKbZs7,152690,4
1,0.68,0.869,6,-1.94,1,0.0589,0.178,0.0,0.223,0.924,173.997,audio_features,4lKuzrdZrJuCAedbIslF3A,spotify:track:4lKuzrdZrJuCAedbIslF3A,https://api.spotify.com/v1/tracks/4lKuzrdZrJuCAedbIslF3A,https://api.spotify.com/v1/audio-analysis/4lKuzrdZrJuCAedbIslF3A,143448,4
2,0.826,0.73,1,-3.032,1,0.0809,0.383,0.000374,0.0197,0.605,150.134,audio_features,2bPtwnrpFNEe8N7Q85kLHw,spotify:track:2bPtwnrpFNEe8N7Q85kLHw,https://api.spotify.com/v1/tracks/2bPtwnrpFNEe8N7Q85kLHw,https://api.spotify.com/v1/audio-analysis/2bPtwnrpFNEe8N7Q85kLHw,157600,4
3,0.839,0.929,11,-2.119,1,0.262,0.603,0.00159,0.121,0.806,150.089,audio_features,0lQ0oe8zDZRhS17PyEV8Fb,spotify:track:0lQ0oe8zDZRhS17PyEV8Fb,https://api.spotify.com/v1/tracks/0lQ0oe8zDZRhS17PyEV8Fb,https://api.spotify.com/v1/audio-analysis/0lQ0oe8zDZRhS17PyEV8Fb,137600,4
4,0.87,0.835,2,-4.817,0,0.0505,0.118,0.0,0.364,0.849,132.986,audio_features,3WLAcpFwRmC98f5UGRXAkI,spotify:track:3WLAcpFwRmC98f5UGRXAkI,https://api.spotify.com/v1/tracks/3WLAcpFwRmC98f5UGRXAkI,https://api.spotify.com/v1/audio-analysis/3WLAcpFwRmC98f5UGRXAkI,177733,4
5,0.819,0.951,6,-2.896,0,0.141,0.356,0.0,0.145,0.963,153.963,audio_features,0nkDm27DGppCSk8dnGtvPa,spotify:track:0nkDm27DGppCSk8dnGtvPa,https://api.spotify.com/v1/tracks/0nkDm27DGppCSk8dnGtvPa,https://api.spotify.com/v1/audio-analysis/0nkDm27DGppCSk8dnGtvPa,148340,4
6,0.822,0.977,10,-1.431,0,0.0512,0.464,1.16e-06,0.0489,0.824,97.092,audio_features,3zmkCbsIVTXH5LvQ5twitZ,spotify:track:3zmkCbsIVTXH5LvQ5twitZ,https://api.spotify.com/v1/tracks/3zmkCbsIVTXH5LvQ5twitZ,https://api.spotify.com/v1/audio-analysis/3zmkCbsIVTXH5LvQ5twitZ,145979,4
7,0.806,0.831,0,-2.399,1,0.0778,0.266,0.0,0.07,0.928,94.038,audio_features,1DgHVOq15mmso5RY0YQy6l,spotify:track:1DgHVOq15mmso5RY0YQy6l,https://api.spotify.com/v1/tracks/1DgHVOq15mmso5RY0YQy6l,https://api.spotify.com/v1/audio-analysis/1DgHVOq15mmso5RY0YQy6l,167234,4
8,0.888,0.841,6,-1.933,1,0.147,0.46,9.15e-05,0.0568,0.964,149.994,audio_features,1tdP9ND6rKEq1vJZlMQ5KW,spotify:track:1tdP9ND6rKEq1vJZlMQ5KW,https://api.spotify.com/v1/tracks/1tdP9ND6rKEq1vJZlMQ5KW,https://api.spotify.com/v1/audio-analysis/1tdP9ND6rKEq1vJZlMQ5KW,120200,4
9,0.864,0.734,6,-4.357,0,0.178,0.173,0.0,0.21,0.807,132.094,audio_features,4k3HBeh98WWN2ybGHC0WQI,spotify:track:4k3HBeh98WWN2ybGHC0WQI,https://api.spotify.com/v1/tracks/4k3HBeh98WWN2ybGHC0WQI,https://api.spotify.com/v1/audio-analysis/4k3HBeh98WWN2ybGHC0WQI,164615,4
