,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.814,0.635,11,-7.209,0,0.112,0.617,0.0122,0.0887,0.815,109.926,audio_features,6atu3OdfN25AVttvoS0vd3,spotify:track:6atu3OdfN25AVttvoS0vd3,https://api.spotify.com/v1/tracks/6atu3OdfN25AVttvoS0vd3,https://api.spotify.com/v1/audio-analysis/6atu3OdfN25AVttvoS0vd3,136796,4
1,0.598,0.775,8,-5.787,1,0.0397,0.000286,1.62e-06,0.168,0.762,170.027,audio_features,6AXRnD6llYIIzhnvKAgIVB,spotify:track:6AXRnD6llYIIzhnvKAgIVB,https://api.spotify.com/v1/tracks/6AXRnD6llYIIzhnvKAgIVB,https://api.spotify.com/v1/audio-analysis/6AXRnD6llYIIzhnvKAgIVB,175247,4
2,0.809,0.83,0,-4.93,1,0.0469,0.751,0.00725,0.112,0.967,119.946,audio_features,0q5GR47BjKU6Ee4n2i7bpK,spotify:track:0q5GR47BjKU6Ee4n2i7bpK,https://api.spotify.com/v1/tracks/0q5GR47BjKU6Ee4n2i7bpK,https://api.spotify.com/v1/audio-analysis/0q5GR47BjKU6Ee4n2i7bpK,136973,4
3,0.406,0.0315,8,-19.899,1,0.0365,0.983,0.0228,0.0991,0.154,57.935,audio_features,0RD3NWnHlyBCRwgNZy8QAn,spotify:track:0RD3NWnHlyBCRwgNZy8QAn,https://api.spotify.com/v1/tracks/0RD3NWnHlyBCRwgNZy8QAn,https://api.spotify.com/v1/audio-analysis/0RD3NWnHlyBCRwgNZy8QAn,306271,4
4,0.72,0.268,8,-14.669,1,0.0492,0.885,0.0011,0.166,0.284,139.95,audio_features,2Ghwuo5Oau19Frr8pBAd77,spotify:track:2Ghwuo5Oau19Frr8pBAd77,https://api.spotify.com/v1/tracks/2Ghwuo5Oau19Frr8pBAd77,https://api.spotify.com/v1/audio-analysis/2Ghwuo5Oau19Frr8pBAd77,170357,4
5,0.745,0.781,7,-4.466,1,0.0368,0.494,0.0,0.117,0.661,99.976,audio_features,0j9azcT9Rj85v2PKLulWfs,spotify:track:0j9azcT9Rj85v2PKLulWfs,https://api.spotify.com/v1/tracks/0j9azcT9Rj85v2PKLulWfs,https://api.spotify.com/v1/audio-analysis/0j9azcT9Rj85v2PKLulWfs,158400,3
6,0.559,0.498,6,-8.773,0,0.0406,0.9,0.000493,0.133,0.577,106.937,audio_features,0NyyK9EoxUnc81BWNOBHPh,spotify:track:0NyyK9EoxUnc81BWNOBHPh,https://api.spotify.com/v1/tracks/0NyyK9EoxUnc81BWNOBHPh,https://api.spotify.com/v1/audio-analysis/0NyyK9EoxUnc81BWNOBHPh,178336,3
7,0.539,0.827,11,-4.231,1,0.0396,0.00552,7.8e-05,0.106,0.373,132.042,audio_features,4ztoNUzHEPCyvbYnni4LtA,spotify:track:4ztoNUzHEPCyvbYnni4LtA,https://api.spotify.com/v1/tracks/4ztoNUzHEPCyvbYnni4LtA,https://api.spotify.com/v1/audio-analysis/4ztoNUzHEPCyvbYnni4LtA,296139,4
8,0.464,0.745,4,-3.202,0,0.161,0.0235,0.0,0.363,0.262,180.098,audio_features,0OA00aPt3BV10qeMIs3meW,spotify:track:0OA00aPt3BV10qeMIs3meW,https://api.spotify.com/v1/tracks/0OA00aPt3BV10qeMIs3meW,https://api.spotify.com/v1/audio-analysis/0OA00aPt3BV10qeMIs3meW,190667,4
9,0.645,0.533,2,-11.65,1,0.0351,0.644,7.08e-06,0.2,0.349,130.02,audio_features,35I2E525yJpUQ5ZJgfxizT,spotify:track:35I2E525yJpUQ5ZJgfxizT,https://api.spotify.com/v1/tracks/35I2E525yJpUQ5ZJgfxizT,https://api.spotify.com/v1/audio-analysis/35I2E525yJpUQ5ZJgfxizT,180923,4
