,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.511,0.607,9,-6.561,1,0.0369,0.335,0.000196,0.11,0.437,106.872,audio_features,08ewcEOUIihWbGXzssVR1r,spotify:track:08ewcEOUIihWbGXzssVR1r,https://api.spotify.com/v1/tracks/08ewcEOUIihWbGXzssVR1r,https://api.spotify.com/v1/audio-analysis/08ewcEOUIihWbGXzssVR1r,233298,4
1,0.388,0.694,1,-6.537,0,0.0459,0.0951,1.79e-05,0.199,0.6,180.043,audio_features,6J3HNhDBIwEX11bX8hzx5u,spotify:track:6J3HNhDBIwEX11bX8hzx5u,https://api.spotify.com/v1/tracks/6J3HNhDBIwEX11bX8hzx5u,https://api.spotify.com/v1/audio-analysis/6J3HNhDBIwEX11bX8hzx5u,246587,4
2,0.432,0.463,9,-5.003,1,0.0361,0.892,0.00296,0.0965,0.429,173.212,audio_features,1v5OYqOzHSQabCjBHkDRYh,spotify:track:1v5OYqOzHSQabCjBHkDRYh,https://api.spotify.com/v1/tracks/1v5OYqOzHSQabCjBHkDRYh,https://api.spotify.com/v1/audio-analysis/1v5OYqOzHSQabCjBHkDRYh,253851,3
3,0.723,0.397,5,-9.404,1,0.0648,0.0962,0.0,0.0488,0.533,137.004,audio_features,24BE8f0DdJxgtHDjsN9FA7,spotify:track:24BE8f0DdJxgtHDjsN9FA7,https://api.spotify.com/v1/tracks/24BE8f0DdJxgtHDjsN9FA7,https://api.spotify.com/v1/audio-analysis/24BE8f0DdJxgtHDjsN9FA7,230609,3
4,0.392,0.37,9,-10.888,1,0.0298,0.205,0.0096,0.0821,0.512,48.718,audio_features,3fqwjXwUGN6vbzIwvyFMhx,spotify:track:3fqwjXwUGN6vbzIwvyFMhx,https://api.spotify.com/v1/tracks/3fqwjXwUGN6vbzIwvyFMhx,https://api.spotify.com/v1/audio-analysis/3fqwjXwUGN6vbzIwvyFMhx,293293,4
5,0.523,0.504,1,-7.221,0,0.0396,0.256,0.0,0.222,0.283,165.759,audio_features,4vlATschiZVKFlngUwN4k9,spotify:track:4vlATschiZVKFlngUwN4k9,https://api.spotify.com/v1/tracks/4vlATschiZVKFlngUwN4k9,https://api.spotify.com/v1/audio-analysis/4vlATschiZVKFlngUwN4k9,234837,3
6,0.768,0.367,2,-11.226,1,0.0315,0.683,1.79e-05,0.081,0.532,103.621,audio_features,3zBhihYUHBmGd2bcQIobrF,spotify:track:3zBhihYUHBmGd2bcQIobrF,https://api.spotify.com/v1/tracks/3zBhihYUHBmGd2bcQIobrF,https://api.spotify.com/v1/audio-analysis/3zBhihYUHBmGd2bcQIobrF,163756,4
7,0.555,0.35,0,-7.072,0,0.0313,0.749,0.00103,0.246,0.485,178.618,audio_features,259d4MYHAadyTsY5pelMz8,spotify:track:259d4MYHAadyTsY5pelMz8,https://api.spotify.com/v1/tracks/259d4MYHAadyTsY5pelMz8,https://api.spotify.com/v1/audio-analysis/259d4MYHAadyTsY5pelMz8,241080,3
8,0.635,0.184,8,-10.785,1,0.0456,0.665,0.0,0.146,0.177,128.424,audio_features,3hhbDnFUb2bicI2df6VurK,spotify:track:3hhbDnFUb2bicI2df6VurK,https://api.spotify.com/v1/tracks/3hhbDnFUb2bicI2df6VurK,https://api.spotify.com/v1/audio-analysis/3hhbDnFUb2bicI2df6VurK,240200,4
9,0.45,0.22,6,-9.628,1,0.0332,0.585,0.0,0.153,0.512,183.537,audio_features,2ngeb9suapZO4YWA059zml,spotify:track:2ngeb9suapZO4YWA059zml,https://api.spotify.com/v1/tracks/2ngeb9suapZO4YWA059zml,https://api.spotify.com/v1/audio-analysis/2ngeb9suapZO4YWA059zml,237808,3
