danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature
0.611,0.366,4,-10.89,0.291,0.874,0.000515,0.0838,0.593,146.052,1ygVkGM0Uk0M7ULenlZGaf,4
0.512,0.511,2,-8.645,0.03,0.662,0.000199,0.209,0.589,89.499,6U03Orwr5Dxt8jahLnQpYV,4
0.797,0.355,11,-14.592,0.0651,0.872,5.72e-05,0.0857,0.961,87.574,2MzS7IK7ZXuk48Btb3EDMy,4
0.426,0.231,2,-16.066,0.0359,0.74,0.0,0.172,0.667,177.98,4pSSmEzKzGo6ehVriMb77D,4
0.508,0.279,6,-15.586,0.0384,0.783,0.0,0.14,0.728,83.261,3LhM43JzrSMUgTzs7wfn0u,4
0.597,0.549,0,-11.817,0.0543,0.372,0.000923,0.0992,0.866,159.381,2moGHNaU8a4j1iowyOiYnF,4
0.654,0.147,10,-17.844,0.039,0.867,0.000923,0.0986,0.472,130.359,7znjbX9XdoQayIrVNdd50Z,4
0.53,0.327,9,-11.132,0.0376,0.888,0.0,0.172,0.598,82.389,224NwoB8JGiZ61orDUK9ut,4
0.695,0.446,2,-14.791,0.107,0.476,0.0,0.0585,0.904,168.887,5OA1OTr9Lkr8DHCobeTWUy,4
0.358,0.504,11,-8.93,0.0419,0.865,0.0,0.592,0.444,82.033,70IaHdZwZ62jwPx08I2NMq,4
0.638,0.283,0,-20.356,0.0404,0.556,0.0601,0.0814,0.887,80.167,6WniximOsNpUYr6HL6fiTz,4
0.559,0.276,7,-21.506,0.0446,0.704,0.00924,0.109,0.514,90.23,2TDf04arGq5CrZiYlduMVY,4
0.666,0.297,7,-17.149,0.278,0.882,5.54e-06,0.7,0.644,109.481,1YZObTpedYVuE7L6c5PKCG,4
0.583,0.617,10,-10.802,0.0354,0.72,0.000726,0.134,0.678,81.704,5PaAhtKZdtk9F2OAyQvrLA,4
0.477,0.432,10,-15.219,0.357,0.946,0.0127,0.139,0.371,121.599,0yG6Z2Mmu05inHxiQYtyYu,4
0.401,0.165,2,-12.848,0.034,0.83,0.00109,0.182,0.335,117.544,49C7wNmhHuyQn3RkPxLB2d,4
