,song_title,artist
0,A Bar Song (Tipsy),Shaboozey
1,I Had Some Help,Post Malone Featuring Morgan Wallen
2,Not Like Us,Kendrick Lamar
3,Espresso,Sabrina Carpenter
4,Million Dollar Baby,Tommy Richman
5,"Good Luck, Babe!",Chappell Roan
6,Birds Of A Feather,Billie Eilish
7,Please Please Please,Sabrina Carpenter
8,Lose Control,Teddy Swims
9,Too Sweet,Hozier
10,Beautiful Things,Benson Boone
11,Guess,Charli xcx Featuring Billie Eilish
12,Cowgirls,Morgan Wallen Featuring ERNEST
13,Ain't No Love In Oklahoma,Luke Combs
14,Lies Lies Lies,Morgan Wallen
15,Pink Skies,Zach Bryan
16,Hot To Go!,Chappell Roan
17,Miles On It,Marshmello & Kane Brown
18,Like That,"Future, Metro Boomin & Kendrick Lamar"
19,Houdini,Eminem
20,I Remember Everything,Zach Bryan Featuring Kacey Musgraves
21,Austin,Dasha
22,Saturn,SZA
23,Who,Jimin
24,28,Zach Bryan
25,Kehlani,Jordan Adetunji
26,High Road,Koe Wetzel & Jessie Murph
27,Pour Me A Drink,Post Malone Featuring Blake Shelton
28,Pink Pony Club,Chappell Roan
29,Wanna Be,GloRilla & Megan Thee Stallion
30,Big Dawgs,Hanumankind X Kalmi
31,Si Antes Te Hubiera Conocido,Karol G
32,Stick Season,Noah Kahan
33,Guy For That,Post Malone Featuring Luke Combs
34,I Can Do It With A Broken Heart,Taylor Swift
35,Slow It Down,Benson Boone
36,We Can't Be Friends (Wait For Your Love),Ariana Grande
37,Fortnight,Taylor Swift Featuring Post Malone
38,Lunch,Billie Eilish
39,I Am Not Okay,Jelly Roll
40,360,Charli xcx
41,Bulletproof,Nate Smith
42,Feather,Sabrina Carpenter
43,Stargazing,Myles Smith
44,Bye Bye Bye,*NSYNC
45,Mamushi,Megan Thee Stallion Featuring Yuki Chiba
46,Red Wine Supernova,Chappell Roan
47,Field Trip,"¥$: Kanye West & Ty Dolla $ign Featuring Playboi Carti, Kodak Black & Don Toliver"
48,You Look Like You Love Me,Ella Langley Featuring Riley Green
49,TGIF,GloRilla
50,Dirt Cheap,Cody Johnson
51,Apple,Charli xcx
52,Whiskey Whiskey,Moneybagg Yo Featuring Morgan Wallen
53,Gata Only,FloyyMenor X Cris Mj
54,Wildflower,Billie Eilish
55,The Door,Teddy Swims
56,One Of Wun,Gunna
57,BAND4BAND,Central Cee & Lil Baby
58,Lonely Road,mgk & Jelly Roll
59,Nights Like This,The Kid LAROI
60,Hang Tight Honey,Lainey Wilson
61,Casual,Chappell Roan
62,Devil Is A Lie,Tommy Richman
63,Chevrolet,Dustin Lynch Featuring Jelly Roll
64,Did It First,Ice Spice & Central Cee
65,Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti"
66,Illusion,Dua Lipa
67,The Boy Is Mine,Ariana Grande
68,Nasty,Tinashe
69,Femininomenon,Chappell Roan
70,Help Me,Real Boston Richey
71,Chihiro,Billie Eilish
72,Wind Up Missin' You,Tucker Wetmore
73,I Like The Way You Kiss Me,Artemas
74,Think I'm In Love With You,Chris Stapleton
75,Promotion,¥$: Kanye West & Ty Dolla $ign Featuring Future
76,Si No Quieres No,Luis R Conriquez x Neton Vega
77,Hate Me,Lil Yachty & ian
78,Dirty,Jessie Murph With Teddy Swims
79,American Nights,Zach Bryan
80,Beautiful As You,Thomas Rhett
81,Belong Together,Mark Ambor
82,"I Love You, I'm Sorry",Gracie Abrams
83,U My Everything,Sexyy Red & Drake
84,La Patrulla,Peso Pluma & Neton Vega
85,Am I Okay?,Megan Moroney
86,Fried,¥$: Kanye West & Ty Dolla $ign
87,Slide,¥$: Kanye West & Ty Dolla $ign
88,Highjack,A$AP Rocky Featuring Jessica Pratt
89,Nel,Fuerza Regida
90,My Kink Is Karma,Chappell Roan
91,Euphoria,Kendrick Lamar
92,Tough,Quavo & Lana Del Rey
93,Liar,Jelly Roll
94,Sweet Dreams,Koe Wetzel
95,Alibi,"Sevdaliza, Pabllo Vittar & Yseult"
96,Parking Lot,Mustard & Travis Scott
97,Wine Into Whiskey,Tucker Wetmore
98,"Love You, Miss You, Mean It",Luke Bryan
99,We Ride,Bryan Martin
