,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.423,0.685,4,-9.651,0,0.078,6.28e-05,0.00642,0.133,0.328,162.78,audio_features,3Jnxngdff0lVu2rza1GVx6,spotify:track:3Jnxngdff0lVu2rza1GVx6,https://api.spotify.com/v1/tracks/3Jnxngdff0lVu2rza1GVx6,https://api.spotify.com/v1/audio-analysis/3Jnxngdff0lVu2rza1GVx6,167720,4
1,0.322,0.991,6,-4.453,1,0.213,0.00313,0.0035,0.0708,0.198,140.221,audio_features,3CIOopLwvyMvXk97ZEksKO,spotify:track:3CIOopLwvyMvXk97ZEksKO,https://api.spotify.com/v1/tracks/3CIOopLwvyMvXk97ZEksKO,https://api.spotify.com/v1/audio-analysis/3CIOopLwvyMvXk97ZEksKO,168320,4
2,0.308,0.866,2,-5.671,0,0.059,0.000739,0.00141,0.232,0.227,109.825,audio_features,6p8eFfPw3nQkf37aT3AkmK,spotify:track:6p8eFfPw3nQkf37aT3AkmK,https://api.spotify.com/v1/tracks/6p8eFfPw3nQkf37aT3AkmK,https://api.spotify.com/v1/audio-analysis/6p8eFfPw3nQkf37aT3AkmK,438120,4
3,0.454,0.913,9,-4.008,1,0.107,0.408,0.000271,0.248,0.521,137.688,audio_features,7ACxUo21jtTHzy7ZEV56vU,spotify:track:7ACxUo21jtTHzy7ZEV56vU,https://api.spotify.com/v1/tracks/7ACxUo21jtTHzy7ZEV56vU,https://api.spotify.com/v1/audio-analysis/7ACxUo21jtTHzy7ZEV56vU,293183,4
4,0.409,0.89,0,-6.839,1,0.0558,0.088,0.107,0.0935,0.268,100.409,audio_features,3nlGByvetDcS1uomAoiBmy,spotify:track:3nlGByvetDcS1uomAoiBmy,https://api.spotify.com/v1/tracks/3nlGByvetDcS1uomAoiBmy,https://api.spotify.com/v1/audio-analysis/3nlGByvetDcS1uomAoiBmy,290587,4
5,0.227,0.995,10,-4.361,0,0.173,0.000405,0.393,0.127,0.0363,87.499,audio_features,4fiOTntQKr24p07FvQDHZE,spotify:track:4fiOTntQKr24p07FvQDHZE,https://api.spotify.com/v1/tracks/4fiOTntQKr24p07FvQDHZE,https://api.spotify.com/v1/audio-analysis/4fiOTntQKr24p07FvQDHZE,255187,4
6,0.313,0.882,0,-6.215,1,0.0355,0.0346,0.338,0.45,0.3,103.981,audio_features,469rBLYJUZHMJLtq2Wch3h,spotify:track:469rBLYJUZHMJLtq2Wch3h,https://api.spotify.com/v1/tracks/469rBLYJUZHMJLtq2Wch3h,https://api.spotify.com/v1/audio-analysis/469rBLYJUZHMJLtq2Wch3h,431093,4
7,0.334,0.828,9,-9.168,1,0.0985,0.00312,0.0043,0.0949,0.515,157.891,audio_features,755bvJDSA3LNcNuFgBT9LK,spotify:track:755bvJDSA3LNcNuFgBT9LK,https://api.spotify.com/v1/tracks/755bvJDSA3LNcNuFgBT9LK,https://api.spotify.com/v1/audio-analysis/755bvJDSA3LNcNuFgBT9LK,354213,4
8,0.543,0.836,4,-9.11,0,0.0353,0.000647,0.431,0.153,0.56,105.173,audio_features,2MuWTIM3b0YEAskbeeFE1i,spotify:track:2MuWTIM3b0YEAskbeeFE1i,https://api.spotify.com/v1/tracks/2MuWTIM3b0YEAskbeeFE1i,https://api.spotify.com/v1/audio-analysis/2MuWTIM3b0YEAskbeeFE1i,515387,4
9,0.5,0.832,8,-4.229,1,0.0513,0.0191,0.000216,0.0829,0.593,145.091,audio_features,4m1slXE2kaXbXVfZQ0q3Om,spotify:track:4m1slXE2kaXbXVfZQ0q3Om,https://api.spotify.com/v1/tracks/4m1slXE2kaXbXVfZQ0q3Om,https://api.spotify.com/v1/audio-analysis/4m1slXE2kaXbXVfZQ0q3Om,94655,4
10,0.333,0.445,3,-16.343,0,0.0283,0.00858,0.0451,0.167,0.35,89.371,audio_features,5qxN63QA4Hk1zgdLCsZFE2,spotify:track:5qxN63QA4Hk1zgdLCsZFE2,https://api.spotify.com/v1/tracks/5qxN63QA4Hk1zgdLCsZFE2,https://api.spotify.com/v1/audio-analysis/5qxN63QA4Hk1zgdLCsZFE2,417840,4
11,0.435,0.987,1,-4.667,0,0.16,0.000195,0.0879,0.268,0.1,103.162,audio_features,0L7zm6afBEtrNKo6C6Gj08,spotify:track:0L7zm6afBEtrNKo6C6Gj08,https://api.spotify.com/v1/tracks/0L7zm6afBEtrNKo6C6Gj08,https://api.spotify.com/v1/audio-analysis/0L7zm6afBEtrNKo6C6Gj08,365827,4
12,0.355,0.973,0,-3.487,1,0.116,1.26e-05,0.00561,0.421,0.483,174.987,audio_features,4UUZ6q9fMXFH4WG6SJ2mQP,spotify:track:4UUZ6q9fMXFH4WG6SJ2mQP,https://api.spotify.com/v1/tracks/4UUZ6q9fMXFH4WG6SJ2mQP,https://api.spotify.com/v1/audio-analysis/4UUZ6q9fMXFH4WG6SJ2mQP,186020,4
13,0.437,0.695,7,-9.447,1,0.0617,0.00111,0.0857,0.124,0.413,102.178,audio_features,5IX4TbIR5mMHGE4wiWwKW0,spotify:track:5IX4TbIR5mMHGE4wiWwKW0,https://api.spotify.com/v1/tracks/5IX4TbIR5mMHGE4wiWwKW0,https://api.spotify.com/v1/audio-analysis/5IX4TbIR5mMHGE4wiWwKW0,447440,3
14,0.307,0.909,9,-7.08,0,0.0574,0.135,0.0336,0.125,0.443,173.674,audio_features,3uMmllZo1AfoEnVT4ENCD3,spotify:track:3uMmllZo1AfoEnVT4ENCD3,https://api.spotify.com/v1/tracks/3uMmllZo1AfoEnVT4ENCD3,https://api.spotify.com/v1/audio-analysis/3uMmllZo1AfoEnVT4ENCD3,366136,4
15,0.326,0.506,2,-10.597,1,0.0393,0.0921,0.0659,0.159,0.105,133.527,audio_features,6KmJMlyPp0rPR7LloToCaF,spotify:track:6KmJMlyPp0rPR7LloToCaF,https://api.spotify.com/v1/tracks/6KmJMlyPp0rPR7LloToCaF,https://api.spotify.com/v1/audio-analysis/6KmJMlyPp0rPR7LloToCaF,380400,4
