,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.558,0.79,6,-4.372,1,0.0411,0.0138,0.0,0.224,0.543,95.607,audio_features,4dmruTsdHIOjfOIeaFitXK,spotify:track:4dmruTsdHIOjfOIeaFitXK,https://api.spotify.com/v1/tracks/4dmruTsdHIOjfOIeaFitXK,https://api.spotify.com/v1/audio-analysis/4dmruTsdHIOjfOIeaFitXK,276918,4
1,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,audio_features,3xkHsmpQCBMytMJNiDf3Ii,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,https://api.spotify.com/v1/tracks/3xkHsmpQCBMytMJNiDf3Ii,https://api.spotify.com/v1/audio-analysis/3xkHsmpQCBMytMJNiDf3Ii,180304,3
2,0.664,0.5,9,-6.935,1,0.0651,0.799,0.0,0.0966,0.801,117.896,audio_features,0mflMxspEfB0VbI1kyLiAv,spotify:track:0mflMxspEfB0VbI1kyLiAv,https://api.spotify.com/v1/tracks/0mflMxspEfB0VbI1kyLiAv,https://api.spotify.com/v1/audio-analysis/0mflMxspEfB0VbI1kyLiAv,182347,4
3,0.792,0.623,2,-4.613,1,0.0802,0.446,0.0,0.124,0.757,140.045,audio_features,0lXVWzLwDnKB7Ro5p0AJPg,spotify:track:0lXVWzLwDnKB7Ro5p0AJPg,https://api.spotify.com/v1/tracks/0lXVWzLwDnKB7Ro5p0AJPg,https://api.spotify.com/v1/audio-analysis/0lXVWzLwDnKB7Ro5p0AJPg,175293,4
4,0.852,0.697,1,-5.52,0,0.0439,0.0973,0.00037,0.0678,0.919,138.029,audio_features,5AJ9hqTS2wcFQCELCFRO7A,spotify:track:5AJ9hqTS2wcFQCELCFRO7A,https://api.spotify.com/v1/tracks/5AJ9hqTS2wcFQCELCFRO7A,https://api.spotify.com/v1/audio-analysis/5AJ9hqTS2wcFQCELCFRO7A,155152,4
5,0.671,0.758,7,-3.793,1,0.0474,0.0604,0.0,0.332,0.537,117.51,audio_features,170XOP1T4MvY9TLTgPw07D,spotify:track:170XOP1T4MvY9TLTgPw07D,https://api.spotify.com/v1/tracks/170XOP1T4MvY9TLTgPw07D,https://api.spotify.com/v1/audio-analysis/170XOP1T4MvY9TLTgPw07D,263107,4
6,0.482,0.757,6,-4.586,1,0.0355,0.0137,0.0016,0.143,0.12,142.579,audio_features,1XBYiRV30ykHw5f4wm6qEn,spotify:track:1XBYiRV30ykHw5f4wm6qEn,https://api.spotify.com/v1/tracks/1XBYiRV30ykHw5f4wm6qEn,https://api.spotify.com/v1/audio-analysis/1XBYiRV30ykHw5f4wm6qEn,86984,4
7,0.478,0.94,0,-0.51,1,0.0506,0.492,0.0,0.338,0.348,76.921,audio_features,2rTfkp4r8Yr0BAyL5kjGMH,spotify:track:2rTfkp4r8Yr0BAyL5kjGMH,https://api.spotify.com/v1/tracks/2rTfkp4r8Yr0BAyL5kjGMH,https://api.spotify.com/v1/audio-analysis/2rTfkp4r8Yr0BAyL5kjGMH,153919,4
8,0.695,0.633,8,-4.946,1,0.0599,0.0612,0.000195,0.0926,0.557,96.782,audio_features,3GCdLUSnKSMJhs4Tj6CV3s,spotify:track:3GCdLUSnKSMJhs4Tj6CV3s,https://api.spotify.com/v1/tracks/3GCdLUSnKSMJhs4Tj6CV3s,https://api.spotify.com/v1/audio-analysis/3GCdLUSnKSMJhs4Tj6CV3s,232187,4
9,0.635,0.601,1,-6.129,0,0.0295,0.246,0.0,0.11,0.332,123.994,audio_features,3Vr3zh0r7ALn8VLqCiRR10,spotify:track:3Vr3zh0r7ALn8VLqCiRR10,https://api.spotify.com/v1/tracks/3Vr3zh0r7ALn8VLqCiRR10,https://api.spotify.com/v1/audio-analysis/3Vr3zh0r7ALn8VLqCiRR10,172533,4
10,0.706,0.691,0,-4.775,1,0.0633,0.0584,6.99e-05,0.0232,0.632,118.048,audio_features,7DSAEUvxU8FajXtRloy8M0,spotify:track:7DSAEUvxU8FajXtRloy8M0,https://api.spotify.com/v1/tracks/7DSAEUvxU8FajXtRloy8M0,https://api.spotify.com/v1/audio-analysis/7DSAEUvxU8FajXtRloy8M0,200600,4
11,0.513,0.73,1,-5.94,1,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,audio_features,0VjIjW4GlUZAMYd2vXMi3b,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b,200040,4
12,0.742,0.533,4,-7.292,0,0.247,0.132,0.0,0.0874,0.792,142.049,audio_features,69VAE3LA7jn5rGAsdflMOS,spotify:track:69VAE3LA7jn5rGAsdflMOS,https://api.spotify.com/v1/tracks/69VAE3LA7jn5rGAsdflMOS,https://api.spotify.com/v1/audio-analysis/69VAE3LA7jn5rGAsdflMOS,155493,4
13,0.61,0.65,6,-6.199,1,0.0474,0.399,0.0,0.11,0.507,106.719,audio_features,1k2pQc5i348DCHwbn5KTdc,spotify:track:1k2pQc5i348DCHwbn5KTdc,https://api.spotify.com/v1/tracks/1k2pQc5i348DCHwbn5KTdc,https://api.spotify.com/v1/audio-analysis/1k2pQc5i348DCHwbn5KTdc,258035,4
14,0.717,0.455,5,-8.303,1,0.0276,0.0846,0.0,0.11,0.389,127.812,audio_features,2ixsaeFioXJmMgkkbd4uj1,spotify:track:2ixsaeFioXJmMgkkbd4uj1,https://api.spotify.com/v1/tracks/2ixsaeFioXJmMgkkbd4uj1,https://api.spotify.com/v1/audio-analysis/2ixsaeFioXJmMgkkbd4uj1,200733,4
15,0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,audio_features,4BP3uh0hFLFRb5cjsgLqDh,spotify:track:4BP3uh0hFLFRb5cjsgLqDh,https://api.spotify.com/v1/tracks/4BP3uh0hFLFRb5cjsgLqDh,https://api.spotify.com/v1/audio-analysis/4BP3uh0hFLFRb5cjsgLqDh,140773,4
