,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,audio_features,40riOy7x9W7GXjyGp4pjAv,spotify:track:40riOy7x9W7GXjyGp4pjAv,https://api.spotify.com/v1/tracks/40riOy7x9W7GXjyGp4pjAv,https://api.spotify.com/v1/audio-analysis/40riOy7x9W7GXjyGp4pjAv,391376,4
1,0.464,0.795,1,-9.267,1,0.0926,0.0493,0.00244,0.399,0.612,158.691,audio_features,63T7DJ1AFDD6Bn8VzG6JE8,spotify:track:63T7DJ1AFDD6Bn8VzG6JE8,https://api.spotify.com/v1/tracks/63T7DJ1AFDD6Bn8VzG6JE8,https://api.spotify.com/v1/audio-analysis/63T7DJ1AFDD6Bn8VzG6JE8,202267,4
2,0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,audio_features,4BP3uh0hFLFRb5cjsgLqDh,spotify:track:4BP3uh0hFLFRb5cjsgLqDh,https://api.spotify.com/v1/tracks/4BP3uh0hFLFRb5cjsgLqDh,https://api.spotify.com/v1/audio-analysis/4BP3uh0hFLFRb5cjsgLqDh,140773,4
3,0.445,0.952,6,-5.321,1,0.0522,0.09,0.0843,0.112,0.624,125.304,audio_features,7snQQk1zcKl8gZ92AnueZW,spotify:track:7snQQk1zcKl8gZ92AnueZW,https://api.spotify.com/v1/tracks/7snQQk1zcKl8gZ92AnueZW,https://api.spotify.com/v1/audio-analysis/7snQQk1zcKl8gZ92AnueZW,356067,4
4,0.743,0.446,4,-7.807,0,0.0683,0.0039,0.118,0.337,0.278,123.596,audio_features,3dPQuX8Gs42Y7b454ybpMR,spotify:track:3dPQuX8Gs42Y7b454ybpMR,https://api.spotify.com/v1/tracks/3dPQuX8Gs42Y7b454ybpMR,https://api.spotify.com/v1/audio-analysis/3dPQuX8Gs42Y7b454ybpMR,232107,4
5,0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52,audio_features,57bgtoPSgt236HzfBOd8kj,spotify:track:57bgtoPSgt236HzfBOd8kj,https://api.spotify.com/v1/tracks/57bgtoPSgt236HzfBOd8kj,https://api.spotify.com/v1/audio-analysis/57bgtoPSgt236HzfBOd8kj,292880,4
6,0.392,0.476,1,-7.583,1,0.0249,0.397,0.000163,0.309,0.234,78.031,audio_features,1xsYj84j7hUDDnTTerGWlH,spotify:track:1xsYj84j7hUDDnTTerGWlH,https://api.spotify.com/v1/tracks/1xsYj84j7hUDDnTTerGWlH,https://api.spotify.com/v1/audio-analysis/1xsYj84j7hUDDnTTerGWlH,267597,4
7,0.577,0.828,6,-8.691,0,0.0298,0.00213,0.0114,0.0581,0.604,123.257,audio_features,5sICkBXVmaCQk5aISGR3x1,spotify:track:5sICkBXVmaCQk5aISGR3x1,https://api.spotify.com/v1/tracks/5sICkBXVmaCQk5aISGR3x1,https://api.spotify.com/v1/audio-analysis/5sICkBXVmaCQk5aISGR3x1,331267,4
8,0.598,0.676,0,-9.211,1,0.0279,0.13,0.225,0.112,0.805,114.169,audio_features,5MMnwYs0hIxkENRsbkWJ2G,spotify:track:5MMnwYs0hIxkENRsbkWJ2G,https://api.spotify.com/v1/tracks/5MMnwYs0hIxkENRsbkWJ2G,https://api.spotify.com/v1/audio-analysis/5MMnwYs0hIxkENRsbkWJ2G,340742,4
9,0.509,0.641,4,-9.936,0,0.264,0.00249,0.0304,0.196,0.612,161.74,audio_features,0u6JFVn0KHHlidZxNL9gVE,spotify:track:0u6JFVn0KHHlidZxNL9gVE,https://api.spotify.com/v1/tracks/0u6JFVn0KHHlidZxNL9gVE,https://api.spotify.com/v1/audio-analysis/0u6JFVn0KHHlidZxNL9gVE,230480,4
10,0.413,0.881,11,-5.541,0,0.0367,5.99e-05,0.000308,0.0805,0.364,158.066,audio_features,5UWwZ5lm5PKu6eKsHAGxOk,spotify:track:5UWwZ5lm5PKu6eKsHAGxOk,https://api.spotify.com/v1/tracks/5UWwZ5lm5PKu6eKsHAGxOk,https://api.spotify.com/v1/audio-analysis/5UWwZ5lm5PKu6eKsHAGxOk,250547,4
11,0.5,0.824,4,-5.846,0,0.0388,0.00016,0.00161,0.0916,0.539,120.125,audio_features,2RsAajgo0g7bMCHxwH3Sk0,spotify:track:2RsAajgo0g7bMCHxwH3Sk0,https://api.spotify.com/v1/tracks/2RsAajgo0g7bMCHxwH3Sk0,https://api.spotify.com/v1/audio-analysis/2RsAajgo0g7bMCHxwH3Sk0,218920,4
12,0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96.483,audio_features,48UPSzbZjgc449aqz8bxox,spotify:track:48UPSzbZjgc449aqz8bxox,https://api.spotify.com/v1/tracks/48UPSzbZjgc449aqz8bxox,https://api.spotify.com/v1/audio-analysis/48UPSzbZjgc449aqz8bxox,329733,4
13,0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,audio_features,70LcF31zb1H0PyJoS1Sx1r,spotify:track:70LcF31zb1H0PyJoS1Sx1r,https://api.spotify.com/v1/tracks/70LcF31zb1H0PyJoS1Sx1r,https://api.spotify.com/v1/audio-analysis/70LcF31zb1H0PyJoS1Sx1r,238640,4
14,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,audio_features,0ofHAoxe9vBkTCp2UQIavz,spotify:track:0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/tracks/0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/audio-analysis/0ofHAoxe9vBkTCp2UQIavz,257800,4
15,0.338,0.34,9,-12.049,0,0.0339,0.58,0.0032,0.116,0.197,82.433,audio_features,0RO9W1xJoUEpq5MEelddFb,spotify:track:0RO9W1xJoUEpq5MEelddFb,https://api.spotify.com/v1/tracks/0RO9W1xJoUEpq5MEelddFb,https://api.spotify.com/v1/audio-analysis/0RO9W1xJoUEpq5MEelddFb,482830,4
16,0.505,0.754,4,-7.435,1,0.0366,0.132,0.0,0.204,0.51,119.204,audio_features,5RKQ5NdjSh2QzD4MaunT91,spotify:track:5RKQ5NdjSh2QzD4MaunT91,https://api.spotify.com/v1/tracks/5RKQ5NdjSh2QzD4MaunT91,https://api.spotify.com/v1/audio-analysis/5RKQ5NdjSh2QzD4MaunT91,249600,4
17,0.535,0.716,4,-5.025,1,0.0431,0.326,0.0,0.659,0.901,94.379,audio_features,2Cdvbe2G4hZsnhNMKyGrie,spotify:track:2Cdvbe2G4hZsnhNMKyGrie,https://api.spotify.com/v1/tracks/2Cdvbe2G4hZsnhNMKyGrie,https://api.spotify.com/v1/audio-analysis/2Cdvbe2G4hZsnhNMKyGrie,175173,4
18,0.733,0.794,5,-10.023,1,0.0307,0.0614,0.0367,0.33,0.931,148.174,audio_features,37Tmv4NnfQeb0ZgUC4fOJj,spotify:track:37Tmv4NnfQeb0ZgUC4fOJj,https://api.spotify.com/v1/tracks/37Tmv4NnfQeb0ZgUC4fOJj,https://api.spotify.com/v1/audio-analysis/37Tmv4NnfQeb0ZgUC4fOJj,348624,4
19,0.375,0.893,2,-4.097,1,0.0406,0.000509,0.0,0.187,0.434,174.323,audio_features,7ygpwy2qP3NbrxVkHvUhXY,spotify:track:7ygpwy2qP3NbrxVkHvUhXY,https://api.spotify.com/v1/tracks/7ygpwy2qP3NbrxVkHvUhXY,https://api.spotify.com/v1/audio-analysis/7ygpwy2qP3NbrxVkHvUhXY,258773,4
20,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,audio_features,08mG3Y1vljYA6bvDt4Wqkj,spotify:track:08mG3Y1vljYA6bvDt4Wqkj,https://api.spotify.com/v1/tracks/08mG3Y1vljYA6bvDt4Wqkj,https://api.spotify.com/v1/audio-analysis/08mG3Y1vljYA6bvDt4Wqkj,255493,4
21,0.634,0.551,3,-7.136,1,0.0352,0.00737,1.82e-05,0.07,0.453,151.779,audio_features,6VoIBz0VhCyz7OdEoRYDiA,spotify:track:6VoIBz0VhCyz7OdEoRYDiA,https://api.spotify.com/v1/tracks/6VoIBz0VhCyz7OdEoRYDiA,https://api.spotify.com/v1/audio-analysis/6VoIBz0VhCyz7OdEoRYDiA,258827,4
