,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.645,0.792,4,-7.34,0,0.036,0.0562,0.0121,0.119,0.666,90.565,audio_features,7nnWIPM5hwE3DaUBkvOIpy,spotify:track:7nnWIPM5hwE3DaUBkvOIpy,https://api.spotify.com/v1/tracks/7nnWIPM5hwE3DaUBkvOIpy,https://api.spotify.com/v1/audio-analysis/7nnWIPM5hwE3DaUBkvOIpy,232453,4
1,0.417,0.33,9,-13.925,1,0.0275,0.247,0.000689,0.0677,0.175,157.113,audio_features,1LzNfuep1bnAUR9skqdHCK,spotify:track:1LzNfuep1bnAUR9skqdHCK,https://api.spotify.com/v1/tracks/1LzNfuep1bnAUR9skqdHCK,https://api.spotify.com/v1/audio-analysis/1LzNfuep1bnAUR9skqdHCK,295600,3
2,0.817,0.371,11,-8.767,1,0.0382,0.764,1.54e-05,0.109,0.41,115.877,audio_features,3XjNIRMZhz8dzM1XkD2VS0,spotify:track:3XjNIRMZhz8dzM1XkD2VS0,https://api.spotify.com/v1/tracks/3XjNIRMZhz8dzM1XkD2VS0,https://api.spotify.com/v1/audio-analysis/3XjNIRMZhz8dzM1XkD2VS0,185340,4
3,0.883,0.58,8,-7.34,1,0.169,0.526,0.00207,0.442,0.926,150.007,audio_features,47ggohxSMR28lby7qT74gQ,spotify:track:47ggohxSMR28lby7qT74gQ,https://api.spotify.com/v1/tracks/47ggohxSMR28lby7qT74gQ,https://api.spotify.com/v1/audio-analysis/47ggohxSMR28lby7qT74gQ,216482,4
4,0.7,0.62,2,-9.36,1,0.0797,0.0175,3.3e-06,0.0891,0.739,173.998,audio_features,6ogLCBRFJCVD8d5oWmOHwE,spotify:track:6ogLCBRFJCVD8d5oWmOHwE,https://api.spotify.com/v1/tracks/6ogLCBRFJCVD8d5oWmOHwE,https://api.spotify.com/v1/audio-analysis/6ogLCBRFJCVD8d5oWmOHwE,240893,4
5,0.814,0.373,7,-8.017,1,0.116,0.602,1.7e-05,0.0931,0.632,114.548,audio_features,0BgbobvykXxEvxo2HhCuvM,spotify:track:0BgbobvykXxEvxo2HhCuvM,https://api.spotify.com/v1/tracks/0BgbobvykXxEvxo2HhCuvM,https://api.spotify.com/v1/audio-analysis/0BgbobvykXxEvxo2HhCuvM,191907,4
6,0.718,0.603,3,-6.278,1,0.0258,0.326,0.0,0.0781,0.474,108.074,audio_features,7xeJKKmWX8PT0N5jZccbVD,spotify:track:7xeJKKmWX8PT0N5jZccbVD,https://api.spotify.com/v1/tracks/7xeJKKmWX8PT0N5jZccbVD,https://api.spotify.com/v1/audio-analysis/7xeJKKmWX8PT0N5jZccbVD,177467,4
7,0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,audio_features,1EzrEOXmMH3G43AXT1y7pA,spotify:track:1EzrEOXmMH3G43AXT1y7pA,https://api.spotify.com/v1/tracks/1EzrEOXmMH3G43AXT1y7pA,https://api.spotify.com/v1/audio-analysis/1EzrEOXmMH3G43AXT1y7pA,242947,4
8,0.534,0.419,10,-13.273,0,0.0293,0.717,0.00791,0.328,0.164,119.968,audio_features,6W4UX8ZFCeSdOngVK5NnGU,spotify:track:6W4UX8ZFCeSdOngVK5NnGU,https://api.spotify.com/v1/tracks/6W4UX8ZFCeSdOngVK5NnGU,https://api.spotify.com/v1/audio-analysis/6W4UX8ZFCeSdOngVK5NnGU,301147,4
9,0.629,0.495,2,-11.582,1,0.0372,0.617,3.02e-05,0.097,0.0666,114.007,audio_features,5GTdfyRr5DmBJAmfQM5iea,spotify:track:5GTdfyRr5DmBJAmfQM5iea,https://api.spotify.com/v1/tracks/5GTdfyRr5DmBJAmfQM5iea,https://api.spotify.com/v1/audio-analysis/5GTdfyRr5DmBJAmfQM5iea,221568,4
10,0.88,0.564,1,-6.431,1,0.0498,0.0786,0.0,0.0565,0.83,99.019,audio_features,5N0lcnJTtKj4wNDvurHige,spotify:track:5N0lcnJTtKj4wNDvurHige,https://api.spotify.com/v1/tracks/5N0lcnJTtKj4wNDvurHige,https://api.spotify.com/v1/audio-analysis/5N0lcnJTtKj4wNDvurHige,225600,4
11,0.854,0.674,0,-7.32,1,0.0597,0.345,9.82e-05,0.12,0.729,109.958,audio_features,0CJCzGGJxHQI7YBZYVsROk,spotify:track:0CJCzGGJxHQI7YBZYVsROk,https://api.spotify.com/v1/tracks/0CJCzGGJxHQI7YBZYVsROk,https://api.spotify.com/v1/audio-analysis/0CJCzGGJxHQI7YBZYVsROk,200391,4
12,0.628,0.422,10,-8.542,0,0.0411,0.705,0.0,0.124,0.325,129.463,audio_features,6ZygaqgtPkiahkiYJhYWhn,spotify:track:6ZygaqgtPkiahkiYJhYWhn,https://api.spotify.com/v1/tracks/6ZygaqgtPkiahkiYJhYWhn,https://api.spotify.com/v1/audio-analysis/6ZygaqgtPkiahkiYJhYWhn,99227,4
13,0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96.483,audio_features,48UPSzbZjgc449aqz8bxox,spotify:track:48UPSzbZjgc449aqz8bxox,https://api.spotify.com/v1/tracks/48UPSzbZjgc449aqz8bxox,https://api.spotify.com/v1/audio-analysis/48UPSzbZjgc449aqz8bxox,329733,4
14,0.655,0.298,0,-8.275,1,0.0401,0.355,0.0,0.128,0.492,141.896,audio_features,4nvNMMV4CB861GQNPdvR0Z,spotify:track:4nvNMMV4CB861GQNPdvR0Z,https://api.spotify.com/v1/tracks/4nvNMMV4CB861GQNPdvR0Z,https://api.spotify.com/v1/audio-analysis/4nvNMMV4CB861GQNPdvR0Z,165211,4
15,0.529,0.55,7,-8.632,1,0.0528,0.109,0.0521,0.378,0.245,141.159,audio_features,7KcFdVj3fzEcFyNXso4yQv,spotify:track:7KcFdVj3fzEcFyNXso4yQv,https://api.spotify.com/v1/tracks/7KcFdVj3fzEcFyNXso4yQv,https://api.spotify.com/v1/audio-analysis/7KcFdVj3fzEcFyNXso4yQv,409667,4
16,0.58,0.623,0,-4.553,1,0.0995,0.335,0.0,0.371,0.596,75.94,audio_features,5ZbNktFPwjaDQgNCsANp4s,spotify:track:5ZbNktFPwjaDQgNCsANp4s,https://api.spotify.com/v1/tracks/5ZbNktFPwjaDQgNCsANp4s,https://api.spotify.com/v1/audio-analysis/5ZbNktFPwjaDQgNCsANp4s,172800,4
17,0.348,0.751,0,-12.823,1,0.0494,0.0699,0.000738,0.208,0.886,156.509,audio_features,6uU5OBhGUE1ngSKDj4wtoq,spotify:track:6uU5OBhGUE1ngSKDj4wtoq,https://api.spotify.com/v1/tracks/6uU5OBhGUE1ngSKDj4wtoq,https://api.spotify.com/v1/audio-analysis/6uU5OBhGUE1ngSKDj4wtoq,172733,4
